,Index,season,season_type,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr_x,special_teams_tds,fantasy_points,fantasy_points_ppr,games,tgt_sh,ay_sh,yac_sh,wopr_y,ry_sh,rtd_sh,rfd_sh,rtdfd_sh,dom,w8dom,yptmpa,ppr_sh,name,total_epa,completions per game,attempts per game,passing_yards per game,passing_tds per game,interceptions per game,sacks per game,sack_yards per game,sack_fumbles per game,sack_fumbles_lost per game,passing_air_yards per game,passing_yards_after_catch per game,passing_first_downs per game,passing_epa per game,passing_2pt_conversions per game,pacr per game,dakota per game,carries per game,rushing_yards per game,rushing_tds per game,rushing_fumbles per game,rushing_fumbles_lost per game,rushing_first_downs per game,rushing_epa per game,rushing_2pt_conversions per game,receptions per game,targets per game,receiving_yards per game,receiving_tds per game,receiving_fumbles per game,receiving_fumbles_lost per game,receiving_air_yards per game,receiving_yards_after_catch per game,receiving_first_downs per game,receiving_epa per game,receiving_2pt_conversions per game,racr per game,air_yards_share per game,wopr_x per game,special_teams_tds per game,fantasy_points per game,fantasy_points_ppr per game,tgt_sh per game,wopr_y per game,dom per game,w8dom per game,yptmpa per game,total_epa per game
29,204,2023,REG,145,228,1527.0,8,5.0,15.0,88.0,5,4,1560.0,768.0,67.0,-10.772911280908222,0,8.49673371225493,0.7714772587305241,15,45.0,2,0.0,0.0,4.0,1.7687966666417196,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,91.58,91.58,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13462499632493458,Gardner Minshew,-9.004114614266502,18.125,28.5,190.875,1.0,0.625,1.875,11.0,0.625,0.5,195.0,96.0,8.375,-1.3466139101135277,0.0,1.0620917140318662,0.09643465734131551,1.875,5.625,0.25,0.0,0.0,0.5,0.22109958333021495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.4475,11.4475,0.0,0.0,0.0,0.0,0.0,-1.1255143267833128
30,236,2023,REG,108,160,909.0,2,6.0,30.0,167.0,3,1,1096.0,440.0,43.0,-60.455004205716946,0,4.9754841300906465,0.28032331149284834,40,206.0,1,1.0,0.0,15.0,5.834527820233806,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,56.96000000000001,56.96000000000001,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14793268231872014,Daniel Jones,-54.620476385483144,18.0,26.666666666666668,151.5,0.3333333333333333,1.0,5.0,27.833333333333332,0.5,0.16666666666666666,182.66666666666666,73.33333333333333,7.166666666666667,-10.075834034286158,0.0,0.8292473550151077,0.04672055191547472,6.666666666666667,34.333333333333336,0.16666666666666666,0.16666666666666666,0.0,2.5,0.9724213033723009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.493333333333334,9.493333333333334,0.0,0.0,0.0,0.0,0.0,-9.103412730913858
31,245,2023,REG,5,8,38.0,1,0.0,0.0,0.0,0,0,60.0,25.0,3.0,4.248786957614357,0,1.1176470588235294,0.3209788243344781,6,16.0,0,0.0,0.0,1.0,-4.468742443452356,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,7.119999999999999,7.119999999999999,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02217930347018877,Tyler Huntley,-0.21995548583799973,1.6666666666666667,2.6666666666666665,12.666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,20.0,8.333333333333334,1.0,1.4162623192047856,0.0,0.37254901960784315,0.10699294144482603,2.0,5.333333333333333,0.0,0.0,0.0,0.3333333333333333,-1.4895808144841187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.373333333333333,2.373333333333333,0.0,0.0,0.0,0.0,0.0,-0.07331849527933325
32,257,2023,REG,214,308,2609.0,19,7.0,14.0,82.0,1,0,2344.0,1241.0,130.0,84.77890557690783,0,11.470438775404979,1.502274062347405,23,33.0,0,7.0,2.0,3.0,-26.718125249166818,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,165.66,165.66,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1657030828015284,Tua Tagovailoa,58.060780327741014,23.77777777777778,34.22222222222222,289.8888888888889,2.111111111111111,0.7777777777777778,1.5555555555555556,9.11111111111111,0.1111111111111111,0.0,260.44444444444446,137.88888888888889,14.444444444444445,9.419878397434204,0.0,1.27449319726722,0.16691934026082278,2.5555555555555554,3.6666666666666665,0.0,0.7777777777777778,0.2222222222222222,0.3333333333333333,-2.9686805832407575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.406666666666666,18.406666666666666,0.0,0.0,0.0,0.0,0.0,6.451197814193446
33,266,2023,REG,155,260,1720.0,12,8.0,18.0,137.0,3,0,2357.0,817.0,85.0,-2.258517931442473,2,6.331610110935547,0.7274523198897783,29,171.0,2,1.0,0.0,10.0,5.0188294046674855,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,133.9,133.9,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21699672641234244,Jordan Love,2.7603114732250127,19.375,32.5,215.0,1.5,1.0,2.25,17.125,0.375,0.0,294.625,102.125,10.625,-0.2823147414303091,0.25,0.7914512638669434,0.09093153998622229,3.625,21.375,0.25,0.125,0.0,1.25,0.6273536755834357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.7375,16.7375,0.0,0.0,0.0,0.0,0.0,0.3450389341531266
34,284,2023,REG,189,282,2026.0,13,4.0,20.0,156.0,2,0,2197.0,1015.0,99.0,36.65909856927584,1,7.766434747936349,0.742473580815316,32,98.0,3,0.0,0.0,10.0,4.087719907437337,0,1,1,10.0,0,0.0,0.0,-7.0,17.0,1.0,1.7805309167597443,0,0.0,0.02702702702702703,-0.02734375,0.021399915540540545,0.0,155.84,156.84,8,0.0035335689045936395,-0.0031545741324921135,0.016314779270633396,0.002776694050896768,0.004819277108433735,0.0,0.01,0.008771929824561403,0.0024096385542168677,0.0038554216867469886,0.0353356890459364,0.20984747123360986,Justin Herbert,40.74681847671318,23.625,35.25,253.25,1.625,0.5,2.5,19.5,0.25,0.0,274.625,126.875,12.375,4.58238732115948,0.125,0.9708043434920436,0.0928091976019145,4.0,12.25,0.375,0.0,0.0,1.25,0.5109649884296671,0.0,0.125,0.125,1.25,0.0,0.0,0.0,-0.875,2.125,0.125,0.22256636459496804,0.0,0.0,-0.00341796875,0.002674989442567568,0.0,19.48,19.605,0.00044169611307420494,0.000347086756362096,0.00030120481927710846,0.0004819277108433736,0.00441696113074205,5.0933523095891475
35,290,2023,REG,210,305,2347.0,15,8.0,22.0,123.0,2,1,2671.0,1007.0,106.0,44.07328643080449,0,8.157488605005996,1.518847675044633,88,316.0,7,2.0,2.0,39.0,16.72152018603897,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,205.48000000000002,205.48000000000002,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24081192574535912,Jalen Hurts,60.79480661684346,23.333333333333332,33.888888888888886,260.77777777777777,1.6666666666666667,0.8888888888888888,2.4444444444444446,13.666666666666666,0.2222222222222222,0.1111111111111111,296.77777777777777,111.88888888888889,11.777777777777779,4.897031825644943,0.0,0.906387622778444,0.168760852782737,9.777777777777779,35.111111111111114,0.7777777777777778,0.2222222222222222,0.2222222222222222,4.333333333333333,1.8579466873376633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.831111111111113,22.831111111111113,0.0,0.0,0.0,0.0,0.0,6.754978512982607
36,299,2023,REG,206,308,1861.0,12,4.0,18.0,133.0,1,1,1867.0,1014.0,99.0,-0.01873416490445301,0,8.202229645408336,0.7118079522700166,25,61.0,0,0.0,0.0,8.0,-2.5968270640878472,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,118.54,118.54,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17981311813603545,Joe Burrow,-2.6155612289923003,25.75,38.5,232.625,1.5,0.5,2.25,16.625,0.125,0.125,233.375,126.75,12.375,-0.0023417706130566263,0.0,1.025278705676042,0.08897599403375207,3.125,7.625,0.0,0.0,0.0,1.0,-0.3246033830109809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.8175,14.8175,0.0,0.0,0.0,0.0,0.0,-0.32694515362403753
37,336,2023,REG,100,162,1201.0,11,6.0,24.0,143.0,3,2,1223.0,602.0,55.0,-22.82352604599237,0,6.960991682274889,0.4310340291087192,47,237.0,1,1.0,0.0,16.0,9.199303703349507,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,105.74,105.74,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2205857810413885,Justin Fields,-13.624222342642863,16.666666666666668,27.0,200.16666666666666,1.8333333333333333,1.0,4.0,23.833333333333332,0.5,0.3333333333333333,203.83333333333334,100.33333333333333,9.166666666666666,-3.803921007665395,0.0,1.1601652803791482,0.0718390048514532,7.833333333333333,39.5,0.16666666666666666,0.16666666666666666,0.0,2.6666666666666665,1.5332172838915845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.62333333333333,17.62333333333333,0.0,0.0,0.0,0.0,0.0,-2.2707037237738104
38,340,2023,REG,185,271,1935.0,9,4.0,19.0,125.0,4,2,1879.0,902.0,88.0,1.4030091006482275,0,8.351758454221033,0.8296614007828869,42,216.0,0,1.0,1.0,11.0,-4.80524564628368,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,121.0,121.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17824524188321253,Trevor Lawrence,-3.4022365456354526,23.125,33.875,241.875,1.125,0.5,2.375,15.625,0.5,0.25,234.875,112.75,11.0,0.17537613758102844,0.0,1.043969806777629,0.10370767509786086,5.25,27.0,0.0,0.125,0.125,1.375,-0.60065570578546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.125,15.125,0.0,0.0,0.0,0.0,0.0,-0.4252795682044316
