,name,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr_x,special_teams_tds,fantasy_points,fantasy_points_ppr,games,tgt_sh,ay_sh,yac_sh,wopr_y,ry_sh,rtd_sh,rfd_sh,rtdfd_sh,dom,w8dom,yptmpa,ppr_sh,total_epa,completions per game,attempts per game,passing_yards per game,passing_tds per game,interceptions per game,sacks per game,sack_yards per game,sack_fumbles per game,sack_fumbles_lost per game,passing_air_yards per game,passing_yards_after_catch per game,passing_first_downs per game,passing_epa per game,passing_2pt_conversions per game,pacr per game,dakota per game,carries per game,rushing_yards per game,rushing_tds per game,rushing_fumbles per game,rushing_fumbles_lost per game,rushing_first_downs per game,rushing_epa per game,rushing_2pt_conversions per game,receptions per game,targets per game,receiving_yards per game,receiving_tds per game,receiving_fumbles per game,receiving_fumbles_lost per game,receiving_air_yards per game,receiving_yards_after_catch per game,receiving_first_downs per game,receiving_epa per game,receiving_2pt_conversions per game,racr per game,air_yards_share per game,wopr_x per game,special_teams_tds per game,fantasy_points per game,fantasy_points_ppr per game,tgt_sh per game,wopr_y per game,dom per game,w8dom per game,yptmpa per game,total_epa per game
23,Jameis Winston,95,161,1170.0,14,3.0,11.0,69.0,2,1,1340.0,578.0,56.0,21.81,0,8.473,1.033,32,166.0,1,0.0,0.0,17.0,16.881,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,117.4,117.4,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.208,38.691,13.571428571428571,23.0,167.14285714285714,2.0,0.42857142857142855,1.5714285714285714,9.857142857142858,0.2857142857142857,0.14285714285714285,191.42857142857142,82.57142857142857,8.0,3.1157142857142857,0.0,1.2104285714285716,0.14757142857142855,4.571428571428571,23.714285714285715,0.14285714285714285,0.0,0.0,2.4285714285714284,2.4115714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.771428571428572,16.771428571428572,0.0,0.0,0.0,0.0,0.0,5.527285714285715
24,Taylor Heinicke,321,494,3419.0,20,15.0,38.0,278.0,4,2,3777.0,1749.0,167.0,-26.516,0,14.987,1.447,60,313.0,1,3.0,0.0,20.0,4.294,1,1,1,-2.0,0,0.0,0.0,-4.0,2.0,0.0,-1.096,0,0.0,0.042,-0.024,0.046,0.0,221.86,222.86,16,0.002,-0.001,0.001,0.002,-0.001,0.0,0.0,0.0,-0.0,-0.0,-0.004,0.175,-22.221999999999998,20.0625,30.875,213.6875,1.25,0.9375,2.375,17.375,0.25,0.125,236.0625,109.3125,10.4375,-1.65725,0.0,0.9366875,0.0904375,3.75,19.5625,0.0625,0.1875,0.0,1.25,0.268375,0.0625,0.0625,0.0625,-0.125,0.0,0.0,0.0,-0.25,0.125,0.0,-0.0685,0.0,0.0,-0.0015,0.002875,0.0,13.86625,13.92875,0.000125,0.000125,-0.0,-0.0,-0.00025,-1.3888749999999999
25,Trevor Siemian,108,188,1154.0,11,3.0,9.0,64.0,3,1,1334.0,502.0,61.0,-6.704,0,5.165,0.24,9,20.0,1,0.0,0.0,2.0,-3.772,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,90.16,90.16,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,-10.475999999999999,18.0,31.333333333333332,192.33333333333334,1.8333333333333333,0.5,1.5,10.666666666666666,0.5,0.16666666666666666,222.33333333333334,83.66666666666667,10.166666666666666,-1.1173333333333333,0.0,0.8608333333333333,0.04,1.5,3.3333333333333335,0.16666666666666666,0.0,0.0,0.3333333333333333,-0.6286666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.026666666666666,15.026666666666666,0.0,0.0,0.0,0.0,0.0,-1.7459999999999998
26,Marcus Mariota,1,2,4.0,0,0.0,0.0,0.0,0,0,31.0,8.0,0.0,-0.72,0,0.0,0.0,13,87.0,1,1.0,0.0,6.0,7.243,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,14.86,14.86,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021,6.523000000000001,0.14285714285714285,0.2857142857142857,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,4.428571428571429,1.1428571428571428,0.0,-0.10285714285714286,0.0,0.0,0.0,1.8571428571428572,12.428571428571429,0.14285714285714285,0.14285714285714285,0.0,0.8571428571428571,1.0347142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1228571428571428,2.1228571428571428,0.0,0.0,0.0,0.0,0.0,0.9318571428571429
27,Brandon Allen,17,34,149.0,2,0.0,4.0,33.0,1,0,174.0,120.0,5.0,-10.645,0,2.329,-0.065,7,-1.0,0,0.0,0.0,1.0,-6.826,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,13.86,13.86,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029,-17.471,3.4,6.8,29.8,0.4,0.0,0.8,6.6,0.2,0.0,34.8,24.0,1.0,-2.129,0.0,0.46580000000000005,-0.013000000000000001,1.4,-0.2,0.0,0.0,0.0,0.2,-1.3652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.772,2.772,0.0,0.0,0.0,0.0,0.0,-3.4942
28,Carson Wentz,322,516,3563.0,27,7.0,32.0,227.0,4,4,3943.0,1650.0,165.0,12.847,2,16.173,1.344,57,215.0,1,4.0,1.0,21.0,8.805,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,258.02,258.02,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.175,21.652,18.941176470588236,30.352941176470587,209.58823529411765,1.588235294117647,0.4117647058823529,1.8823529411764706,13.352941176470589,0.23529411764705882,0.23529411764705882,231.94117647058823,97.05882352941177,9.705882352941176,0.7557058823529411,0.11764705882352941,0.9513529411764705,0.07905882352941176,3.3529411764705883,12.647058823529411,0.058823529411764705,0.23529411764705882,0.058823529411764705,1.2352941176470589,0.5179411764705882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.177647058823528,15.177647058823528,0.0,0.0,0.0,0.0,0.0,1.2736470588235296
29,Dak Prescott,410,596,4449.0,37,10.0,30.0,144.0,7,3,4612.0,2027.0,227.0,109.068,2,16.729,2.19,48,146.0,1,8.0,3.0,7.0,-24.409,1,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,320.56,320.56,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.184,84.65899999999999,25.625,37.25,278.0625,2.3125,0.625,1.875,9.0,0.4375,0.1875,288.25,126.6875,14.1875,6.81675,0.125,1.0455625,0.136875,3.0,9.125,0.0625,0.5,0.1875,0.4375,-1.5255625,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.035,20.035,0.0,0.0,0.0,0.0,0.0,5.2911874999999995
30,Jared Goff,332,494,3245.0,19,8.0,35.0,280.0,6,4,3148.0,1754.0,162.0,-28.796,4,15.358,1.018,17,87.0,0,3.0,2.0,4.0,-13.914,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,194.5,194.5,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.164,-42.71,23.714285714285715,35.285714285714285,231.78571428571428,1.3571428571428572,0.5714285714285714,2.5,20.0,0.42857142857142855,0.2857142857142857,224.85714285714286,125.28571428571429,11.571428571428571,-2.056857142857143,0.2857142857142857,1.097,0.07271428571428572,1.2142857142857142,6.214285714285714,0.0,0.21428571428571427,0.14285714285714285,0.2857142857142857,-0.9938571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.892857142857142,13.892857142857142,0.0,0.0,0.0,0.0,0.0,-3.0507142857142857
31,Jacoby Brissett,141,225,1283.0,5,4.0,19.0,132.0,6,3,1691.0,508.0,69.0,-23.911,1,5.825,0.198,19,70.0,1,0.0,0.0,9.0,3.042,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,72.32,72.32,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.093,-20.869,14.1,22.5,128.3,0.5,0.4,1.9,13.2,0.6,0.3,169.1,50.8,6.9,-2.3911000000000002,0.1,0.5825,0.0198,1.9,7.0,0.1,0.0,0.0,0.9,0.30419999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.231999999999999,7.231999999999999,0.0,0.0,0.0,0.0,0.0,-2.0869
32,Phillip Walker,36,66,362.0,1,3.0,7.0,47.0,1,0,594.0,137.0,19.0,-15.502,1,2.673,-0.099,7,13.0,0,2.0,1.0,2.0,-5.592,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,13.78,13.78,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045,-21.094,7.2,13.2,72.4,0.2,0.6,1.4,9.4,0.2,0.0,118.8,27.4,3.8,-3.1004,0.2,0.5346,-0.0198,1.4,2.6,0.0,0.4,0.2,0.4,-1.1183999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.756,2.756,0.0,0.0,0.0,0.0,0.0,-4.2188
