,name,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr_x,special_teams_tds,fantasy_points,fantasy_points_ppr,games,tgt_sh,ay_sh,yac_sh,wopr_y,ry_sh,rtd_sh,rfd_sh,rtdfd_sh,dom,w8dom,yptmpa,ppr_sh,total_epa,completions per game,attempts per game,passing_yards per game,passing_tds per game,interceptions per game,sacks per game,sack_yards per game,sack_fumbles per game,sack_fumbles_lost per game,passing_air_yards per game,passing_yards_after_catch per game,passing_first_downs per game,passing_epa per game,passing_2pt_conversions per game,pacr per game,dakota per game,carries per game,rushing_yards per game,rushing_tds per game,rushing_fumbles per game,rushing_fumbles_lost per game,rushing_first_downs per game,rushing_epa per game,rushing_2pt_conversions per game,receptions per game,targets per game,receiving_yards per game,receiving_tds per game,receiving_fumbles per game,receiving_fumbles_lost per game,receiving_air_yards per game,receiving_yards_after_catch per game,receiving_first_downs per game,receiving_epa per game,receiving_2pt_conversions per game,racr per game,air_yards_share per game,wopr_x per game,special_teams_tds per game,fantasy_points per game,fantasy_points_ppr per game,tgt_sh per game,wopr_y per game,dom per game,w8dom per game,yptmpa per game,total_epa per game
10,Melvin Gordon,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,13,53.0,0,0.0,0.0,2.0,-2.235,0,3,3,46.0,0,0.0,0.0,18.0,28.0,3.0,3.147,0,6.369,0.122,0.138,0.28,0.0,9.9,12.9,2,0.06,0.056,0.158,0.135,0.119,0.0,0.2,0.176,0.059,0.095,0.92,0.08,-2.235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,26.5,0.0,0.0,0.0,1.0,-1.1175,0.0,1.5,1.5,23.0,0.0,0.0,0.0,9.0,14.0,1.5,1.5735,0.0,3.1845,0.069,0.14,0.0,4.95,6.45,0.03,0.0675,0.0295,0.0475,0.46,-1.1175
11,Derrick Henry,2,3,14.0,2,0.0,0.0,0.0,0,0,27.0,0.0,2.0,4.522,0,2.0,0.0,249,972.0,11,0.0,0.0,55.0,-5.371,0,28,35,214.0,0,0.0,0.0,-102.0,275.0,7.0,3.922,0,-7.294,1.275,-0.467,1.586,0.0,193.16,221.16,15,0.079,-0.024,0.202,0.1,0.068,0.0,0.05,0.046,0.034,0.054,0.485,0.21,-0.8490000000000002,0.13333333333333333,0.2,0.9333333333333333,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.13333333333333333,0.30146666666666666,0.0,0.13333333333333333,0.0,16.6,64.8,0.7333333333333333,0.0,0.0,3.6666666666666665,-0.3580666666666667,0.0,1.8666666666666667,2.3333333333333335,14.266666666666667,0.0,0.0,0.0,-6.8,18.333333333333332,0.4666666666666667,0.2614666666666667,0.0,-0.4862666666666666,-0.031133333333333336,0.10573333333333333,0.0,12.877333333333333,14.744,0.005266666666666667,0.006666666666666667,0.002266666666666667,0.0036,0.03233333333333333,-0.05660000000000001
12,C.J. Ham,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,1,7.0,0,0.0,0.0,0.0,0.349,0,7,9,25.0,0,0.0,0.0,10.0,20.0,1.0,-5.415,0,14.833,0.247,0.029,0.391,0.0,3.2,10.2,6,0.039,0.005,0.032,0.062,0.014,0.0,0.013,0.012,0.007,0.011,0.107,0.019,0.349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,1.1666666666666667,0.0,0.0,0.0,0.0,0.058166666666666665,0.0,1.1666666666666667,1.5,4.166666666666667,0.0,0.0,0.0,1.6666666666666667,3.3333333333333335,0.16666666666666666,-0.9025,0.0,2.472166666666667,0.004833333333333334,0.06516666666666666,0.0,0.5333333333333333,1.7,0.0065,0.010333333333333333,0.0011666666666666668,0.0018333333333333333,0.017833333333333333,0.058166666666666665
13,Ezekiel Elliott,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,157,549.0,2,1.0,0.0,29.0,-23.593,0,45,56,280.0,2,1.0,1.0,-45.0,339.0,11.0,-7.135,0,-13.196,1.779,-0.224,2.513,0.0,104.9,149.9,15,0.112,-0.013,0.2,0.158,0.09,0.125,0.077,0.082,0.108,0.097,0.559,0.141,-23.593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.466666666666667,36.6,0.13333333333333333,0.06666666666666667,0.0,1.9333333333333333,-1.5728666666666666,0.0,3.0,3.7333333333333334,18.666666666666668,0.13333333333333333,0.06666666666666667,0.06666666666666667,-3.0,22.6,0.7333333333333333,-0.4756666666666666,0.0,-0.8797333333333334,-0.014933333333333333,0.16753333333333334,0.0,6.993333333333334,9.993333333333334,0.007466666666666667,0.010533333333333334,0.0072,0.006466666666666667,0.03726666666666667,-1.5728666666666666
14,Kenyan Drake,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,2,0.0,0,0.0,0.0,0.0,-0.903,0,2,3,31.0,0,1.0,1.0,-4.0,36.0,0.0,-3.834,0,-7.75,0.1,-0.021,0.135,0.0,1.1,3.1,2,0.043,-0.009,0.16,0.057,0.064,0.0,0.0,0.0,0.032,0.051,0.443,0.018,-0.903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.4515,0.0,1.0,1.5,15.5,0.0,0.5,0.5,-2.0,18.0,0.0,-1.917,0.0,-3.875,-0.0105,0.0675,0.0,0.55,1.55,0.0215,0.0285,0.016,0.0255,0.2215,-0.4515
15,Christian McCaffrey,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,258,1395.0,14,2.0,2.0,78.0,12.738,0,63,78,537.0,7,1.0,0.0,144.0,439.0,28.0,6.156,0,-20.937,2.8,0.649,4.655,0.0,315.2,378.2,15,0.178,0.04,0.218,0.3,0.129,0.233,0.153,0.164,0.181,0.15,1.229,0.252,12.738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.2,93.0,0.9333333333333333,0.13333333333333333,0.13333333333333333,5.2,0.8492,0.0,4.2,5.2,35.8,0.4666666666666667,0.06666666666666667,0.0,9.6,29.266666666666666,1.8666666666666667,0.4104,0.0,-1.3958000000000002,0.04326666666666667,0.31033333333333335,0.0,21.013333333333332,25.21333333333333,0.011866666666666666,0.02,0.012066666666666667,0.01,0.08193333333333334,0.8492
16,Aaron Jones,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,100,425.0,2,1.0,1.0,20.0,-4.335,0,24,37,193.0,1,1.0,0.0,-45.0,228.0,10.0,6.613,0,-27.891,1.17,-0.2,1.614,0.0,77.8,101.8,9,0.12,-0.017,0.217,0.166,0.086,0.062,0.091,0.087,0.074,0.081,0.625,0.129,-4.335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11111111111111,47.22222222222222,0.2222222222222222,0.1111111111111111,0.1111111111111111,2.2222222222222223,-0.4816666666666667,0.0,2.6666666666666665,4.111111111111111,21.444444444444443,0.1111111111111111,0.1111111111111111,0.0,-5.0,25.333333333333332,1.1111111111111112,0.7347777777777779,0.0,-3.0989999999999998,-0.022222222222222223,0.17933333333333334,0.0,8.644444444444444,11.31111111111111,0.013333333333333332,0.018444444444444444,0.008222222222222221,0.009000000000000001,0.06944444444444445,-0.4816666666666667
17,Alex Armah,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,2,2,3.0,0,0.0,0.0,-9.0,12.0,0.0,-0.605,0,-1.0,0.043,-0.03,0.044,0.0,0.3,2.3,2,0.021,-0.015,0.03,0.019,0.004,0.0,0.0,0.0,0.002,0.003,0.031,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.5,0.0,0.0,0.0,-4.5,6.0,0.0,-0.3025,0.0,-0.5,-0.015,0.022,0.0,0.15,1.15,0.0105,0.0095,0.001,0.0015,0.0155,0.0
18,Matt Breida,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,55,151.0,1,0.0,0.0,7.0,-13.72,0,17,21,88.0,0,1.0,0.0,1.0,89.0,2.0,-9.727,0,17.933,0.745,0.05,1.152,0.0,29.9,46.9,15,0.047,0.0,0.068,0.071,0.032,0.0,0.017,0.015,0.016,0.026,0.199,0.048,-13.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6666666666666665,10.066666666666666,0.06666666666666667,0.0,0.0,0.4666666666666667,-0.9146666666666667,0.0,1.1333333333333333,1.4,5.866666666666666,0.0,0.06666666666666667,0.0,0.06666666666666667,5.933333333333334,0.13333333333333333,-0.6484666666666666,0.0,1.1955333333333333,0.0033333333333333335,0.0768,0.0,1.9933333333333332,3.1266666666666665,0.0031333333333333335,0.004733333333333333,0.0010666666666666667,0.0017333333333333333,0.013266666666666668,-0.9146666666666667
19,Patrick Ricard,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,4,6,48.0,0,0.0,0.0,15.0,35.0,2.0,-4.806,0,11.944,0.234,0.064,0.397,0.0,4.8,8.8,5,0.044,0.015,0.052,0.079,0.039,0.0,0.036,0.031,0.019,0.031,0.356,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.2,9.6,0.0,0.0,0.0,3.0,7.0,0.4,-0.9612,0.0,2.3888000000000003,0.0128,0.0794,0.0,0.96,1.7600000000000002,0.008799999999999999,0.0158,0.0038,0.0062,0.0712,0.0
