,name,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr_x,special_teams_tds,fantasy_points,fantasy_points_ppr,games,tgt_sh,ay_sh,yac_sh,wopr_y,ry_sh,rtd_sh,rfd_sh,rtdfd_sh,dom,w8dom,yptmpa,ppr_sh,total_epa,completions per game,attempts per game,passing_yards per game,passing_tds per game,interceptions per game,sacks per game,sack_yards per game,sack_fumbles per game,sack_fumbles_lost per game,passing_air_yards per game,passing_yards_after_catch per game,passing_first_downs per game,passing_epa per game,passing_2pt_conversions per game,pacr per game,dakota per game,carries per game,rushing_yards per game,rushing_tds per game,rushing_fumbles per game,rushing_fumbles_lost per game,rushing_first_downs per game,rushing_epa per game,rushing_2pt_conversions per game,receptions per game,targets per game,receiving_yards per game,receiving_tds per game,receiving_fumbles per game,receiving_fumbles_lost per game,receiving_air_yards per game,receiving_yards_after_catch per game,receiving_first_downs per game,receiving_epa per game,receiving_2pt_conversions per game,racr per game,air_yards_share per game,wopr_x per game,special_teams_tds per game,fantasy_points per game,fantasy_points_ppr per game,tgt_sh per game,wopr_y per game,dom per game,w8dom per game,yptmpa per game,total_epa per game
0,DeSean Jackson,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,9,17,153.0,0,0.0,0.0,302.0,23.0,5.0,1.634,0,3.419,0.724,1.406,2.07,0.0,15.3,24.3,7,0.097,0.199,0.055,0.304,0.143,0.0,0.102,0.094,0.071,0.114,0.869,0.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2857142857142858,2.4285714285714284,21.857142857142858,0.0,0.0,0.0,43.142857142857146,3.2857142857142856,0.7142857142857143,0.2334285714285714,0.0,0.48842857142857143,0.20085714285714285,0.2957142857142857,0.0,2.185714285714286,3.4714285714285715,0.013857142857142858,0.04342857142857143,0.010142857142857143,0.016285714285714285,0.12414285714285714,0.0
1,A.J. Green,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,24,47,236.0,2,0.0,0.0,515.0,56.0,11.0,-18.073,1,5.443,1.252,2.03,3.299,0.0,37.6,61.6,13,0.09,0.142,0.034,0.248,0.075,0.167,0.071,0.078,0.121,0.093,0.452,0.057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8461538461538463,3.6153846153846154,18.153846153846153,0.15384615384615385,0.0,0.0,39.61538461538461,4.3076923076923075,0.8461538461538461,-1.3902307692307692,0.07692307692307693,0.41869230769230764,0.15615384615384614,0.25376923076923075,0.0,2.8923076923076922,4.7384615384615385,0.006923076923076922,0.019076923076923078,0.009307692307692307,0.007153846153846154,0.03476923076923077,0.0
2,Julio Jones,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,5,45.0,0,0.0,0.0,4.0,3.191,0,24,43,299.0,2,0.0,0.0,593.0,124.0,13.0,7.486,0,5.085,1.037,1.97,2.934,0.0,46.4,70.4,10,0.094,0.193,0.081,0.296,0.101,0.118,0.087,0.09,0.109,0.105,0.656,0.072,3.191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,4.5,0.0,0.0,0.0,0.4,0.3191,0.0,2.4,4.3,29.9,0.2,0.0,0.0,59.3,12.4,1.3,0.7485999999999999,0.0,0.5085,0.197,0.2934,0.0,4.64,7.040000000000001,0.0094,0.029599999999999998,0.0109,0.010499999999999999,0.0656,0.3191
3,Randall Cobb,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,34,50,417.0,1,1.0,0.0,475.0,185.0,19.0,22.565,0,17.106,1.55,1.97,3.705,0.0,47.7,81.7,13,0.115,0.14,0.115,0.285,0.14,0.053,0.128,0.119,0.096,0.123,0.959,0.074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6153846153846154,3.8461538461538463,32.07692307692308,0.07692307692307693,0.07692307692307693,0.0,36.53846153846154,14.23076923076923,1.4615384615384615,1.735769230769231,0.0,1.3158461538461539,0.15153846153846154,0.28500000000000003,0.0,3.6692307692307695,6.2846153846153845,0.008846153846153847,0.02192307692307692,0.0073846153846153844,0.009461538461538462,0.07376923076923077,0.0
4,Cole Beasley,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,6,7,35.0,0,0.0,0.0,26.0,14.0,1.0,0.326,0,3.6,0.186,0.095,0.345,0.0,3.5,9.5,4,0.044,0.02,0.03,0.082,0.031,0.0,0.016,0.014,0.015,0.025,0.219,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.75,8.75,0.0,0.0,0.0,6.5,3.5,0.25,0.0815,0.0,0.9,0.02375,0.08625,0.0,0.875,2.375,0.011,0.0205,0.00375,0.00625,0.05475,0.0
5,Marvin Jones,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,46,81,529.0,3,0.0,0.0,1071.0,95.0,29.0,11.479,0,8.661,2.342,4.242,6.482,0.0,70.9,116.9,16,0.141,0.25,0.05,0.412,0.133,0.125,0.145,0.143,0.129,0.131,0.922,0.083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.875,5.0625,33.0625,0.1875,0.0,0.0,66.9375,5.9375,1.8125,0.7174375,0.0,0.5413125,0.265125,0.405125,0.0,4.43125,7.30625,0.0088125,0.02575,0.0080625,0.0081875,0.057625,0.0
6,T.Y. Hilton,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,7,10,121.0,0,0.0,0.0,175.0,33.0,5.0,10.085,0,2.201,0.262,0.55,0.777,0.0,12.1,19.1,3,0.088,0.181,0.106,0.276,0.16,0.0,0.125,0.109,0.08,0.128,1.061,0.072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3333333333333335,3.3333333333333335,40.333333333333336,0.0,0.0,0.0,58.333333333333336,11.0,1.6666666666666667,3.361666666666667,0.0,0.7336666666666667,0.18333333333333335,0.259,0.0,4.033333333333333,6.366666666666667,0.029333333333333333,0.09200000000000001,0.02666666666666667,0.042666666666666665,0.35366666666666663,0.0
7,Adam Thielen,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,1,4.0,0,0.0,0.0,0.0,-0.134,0,70,107,716.0,6,0.0,0.0,1036.0,152.0,45.0,11.078,1,12.247,2.916,3.919,7.117,0.0,110.0,180.0,17,0.159,0.207,0.072,0.404,0.149,0.2,0.184,0.186,0.174,0.159,1.065,0.108,-0.134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.23529411764705882,0.0,0.0,0.0,0.0,-0.00788235294117647,0.0,4.117647058823529,6.294117647058823,42.11764705882353,0.35294117647058826,0.0,0.0,60.94117647058823,8.941176470588236,2.6470588235294117,0.6516470588235294,0.058823529411764705,0.7204117647058823,0.23052941176470587,0.4186470588235294,0.0,6.470588235294118,10.588235294117647,0.009352941176470588,0.02376470588235294,0.010235294117647058,0.009352941176470588,0.0626470588235294,-0.00788235294117647
8,Marquise Goodwin,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,2,5.0,0,0.0,0.0,0.0,-0.51,0,27,42,387.0,4,0.0,0.0,442.0,114.0,18.0,20.9,0,12.976,1.221,1.668,2.999,0.0,63.2,90.2,12,0.099,0.144,0.094,0.264,0.128,0.2,0.121,0.13,0.164,0.142,0.913,0.087,-0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.4166666666666667,0.0,0.0,0.0,0.0,-0.0425,0.0,2.25,3.5,32.25,0.3333333333333333,0.0,0.0,36.833333333333336,9.5,1.5,1.7416666666666665,0.0,1.0813333333333335,0.13899999999999998,0.24991666666666668,0.0,5.266666666666667,7.516666666666667,0.00825,0.022000000000000002,0.013666666666666667,0.011833333333333333,0.07608333333333334,-0.0425
9,Keenan Allen,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,1,8.0,0,0.0,0.0,1.0,0.588,0,66,89,752.0,4,1.0,1.0,764.0,263.0,38.0,27.142,0,12.088,2.331,2.946,5.559,0.0,98.0,164.0,10,0.218,0.289,0.171,0.558,0.258,0.235,0.266,0.262,0.247,0.254,1.843,0.165,0.588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.8,0.0,0.0,0.0,0.1,0.0588,0.0,6.6,8.9,75.2,0.4,0.1,0.1,76.4,26.3,3.8,2.7142,0.0,1.2087999999999999,0.29460000000000003,0.5559000000000001,0.0,9.8,16.4,0.0218,0.0558,0.0247,0.0254,0.1843,0.0588
