Rank,Player Name,Position,Age,Games,Games Started,Passing Completions,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Rushing Attempts,Rushing Yards,Rushing Y/A,Rushing Touchdowns,Receiving Targets,Receiving Receptions,Receiving Yards,Receiving Y/R,Receiving TD,Fumbles,Fumbles Lost,Fantasy Points,Fantasy PPR,Fantasy VBD,Fantasy Position Rank,Fantasy Overall Rank,additional
1,Aaron Rodgers*+,QB,28,15,15,343,502,4643,45,6,60,257,4.28,3,0,0,0,,0,4,,397,397.4,175,1,1,RodgAa00
2,Drew Brees*,QB,32,16,16,468,657,5476,46,14,21,86,4.10,1,0,0,0,,0,1,1,394,393.6,171,2,2,BreeDr00
3,Ray Rice*,RB,24,16,16,1,1,1,1,0,291,1364,4.69,12,104,76,704,9.26,3,2,2,297,372.8,149,1,3,RiceRa00
4,Calvin Johnson*+,WR,26,16,16,0,0,0,0,0,1,11,11.00,0,158,96,1681,17.51,16,1,1,263,359.2,148,1,4,JohnCa00
5,Cam Newton*,QB,22,16,16,310,517,4051,21,17,126,706,5.60,14,1,1,27,27.00,0,5,2,369,370.3,147,3,5,NewtCa00
6,Rob Gronkowski*+,TE,22,16,16,0,0,0,0,0,1,2,2.00,1,124,90,1327,14.74,17,0,,241,330.9,145,1,6,GronRo00
7,Tom Brady*,QB,34,16,16,401,611,5235,39,12,43,109,2.53,3,0,0,0,,0,6,2,366,366.3,144,4,7,BradTo00
8,LeSean McCoy*+,RB,23,15,15,0,0,0,0,0,273,1309,4.79,17,69,48,315,6.56,3,1,1,280,328.4,133,2,8,McCoLe01
9,Matthew Stafford,QB,23,16,16,421,663,5038,41,16,22,78,3.55,0,0,0,0,,0,5,1,343,343.3,121,5,9,StafMa00
10,Maurice Jones-Drew*+,RB,26,16,16,0,0,0,0,0,343,1606,4.68,8,64,43,374,8.70,3,6,1,262,305.0,115,3,10,DrewMa00
11,Arian Foster*,RB,25,13,13,0,0,0,0,0,278,1224,4.40,10,72,53,617,11.64,2,5,2,252,305.1,105,4,11,FostAr00
12,Jordy Nelson,WR,26,16,9,0,0,0,0,0,0,0,,0,96,68,1263,18.57,15,0,,216,284.3,101,2,12,NelsJo00
13,Jimmy Graham*,TE,25,16,11,0,0,0,0,0,0,0,,0,149,99,1310,13.23,11,1,1,195,294.0,99,2,13,GrahJi00
14,Wes Welker*+,WR,30,16,15,0,0,0,0,0,4,30,7.50,0,173,122,1569,12.86,9,1,,214,335.9,98,3,14,WelkWe00
15,Victor Cruz,WR,25,16,7,0,0,0,0,0,1,3,3.00,0,131,82,1536,18.73,9,1,1,206,287.9,90,4,15,CruzVi00
16,Larry Fitzgerald*,WR,28,16,16,0,0,0,0,0,0,0,,0,154,80,1411,17.64,8,0,,189,269.1,74,5,16,FitzLa00
17,Steve Smith Sr.*,WR,32,16,16,0,0,0,0,0,6,56,9.33,0,129,79,1394,17.65,7,3,2,185,264.0,69,6,17,SmitSt01
18,Marshawn Lynch*,RB,25,15,15,0,2,0,0,0,285,1204,4.22,12,41,28,212,7.57,1,3,2,216,243.6,68,5,18,LyncMa00
19,Percy Harvin,WR,23,16,14,0,0,0,0,0,52,345,6.63,2,121,87,967,11.11,6,2,2,181,268.2,66,7,19,HarvPe00
20,Michael Turner,RB,29,16,15,0,0,0,0,0,301,1340,4.45,11,26,17,168,9.88,0,3,2,213,229.8,65,6,20,TurnMi00
21,Roddy White*,WR,30,16,16,0,0,0,0,0,0,0,,0,180,100,1296,12.96,8,0,,178,277.6,62,8,21,WhitRo00
22,Eli Manning*,QB,30,16,16,359,589,4933,29,16,35,15,0.43,1,0,0,0,,0,8,4,281,280.8,58,6,22,MannEl00
23,Mike Wallace*,WR,25,16,14,0,0,0,0,0,5,57,11.40,0,114,72,1193,16.57,8,1,1,171,243.0,55,9,23,WallMi00
24,Vincent Jackson*,WR,28,16,16,0,0,0,0,0,3,51,17.00,0,115,60,1106,18.43,9,0,,170,229.7,54,10,24,JackVi00
25,Tony Romo,QB,31,16,16,346,522,4184,31,10,22,46,2.09,1,0,0,0,,0,6,3,276,276.0,53,7,25,RomoTo00
26,Matt Ryan,QB,26,16,16,347,566,4177,29,12,37,84,2.27,2,0,0,0,,0,5,3,273,273.5,51,8,26,RyanMa00
27,Hakeem Nicks,WR,23,15,15,0,0,0,0,0,0,0,,0,133,76,1192,15.68,7,0,,161,237.2,46,11,27,NickHa01
