Rank,Player Name,Position,Age,Games,Games Started,Passing Completions,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Rushing Attempts,Rushing Yards,Rushing Y/A,Rushing Touchdowns,Receiving Targets,Receiving Receptions,Receiving Yards,Receiving Y/R,Receiving TD,Fumbles,Fumbles Lost,Fantasy Points,Fantasy PPR,Fantasy VBD,Fantasy Position Rank,Fantasy Overall Rank,additional
1,Arian Foster*+,RB,24,16,13,0,0,0,0,0,327,1616,4.94,16,84,66,604,9.15,2,3,2,326,392.0,190,1,1,FostAr00
2,Adrian Peterson*,RB,25,15,15,0,0,0,0,0,283,1298,4.59,12,50,36,341,9.47,1,1,1,240,275.9,104,2,2,PeteAd01
3,Jamaal Charles*+,RB,24,16,6,0,0,0,0,0,230,1467,6.38,5,64,45,468,10.40,3,3,2,238,282.5,102,3,3,CharJa00
4,Peyton Hillis,RB,24,16,14,1,2,13,0,0,270,1177,4.36,11,77,61,477,7.82,2,8,5,234,294.9,98,4,4,HillPe00
5,Chris Johnson*,RB,25,16,16,0,0,0,0,0,316,1364,4.32,11,57,44,245,5.57,1,3,2,229,272.9,93,5,5,JohnCh04
6,Brandon Lloyd*,WR,29,16,11,0,0,0,0,0,1,-18,-18.00,0,153,77,1448,18.81,11,0,,209,286.0,91,1,6,LloyBr00
7,Dwayne Bowe*,WR,26,16,16,0,0,0,0,0,1,4,4.00,0,133,72,1162,16.14,15,1,,207,278.6,89,2,7,BoweDw00
8,Darren McFadden,RB,23,13,13,0,1,0,0,0,223,1157,5.19,7,61,47,507,10.79,3,4,3,220,267.4,85,6,8,McFaDa00
9,Roddy White*+,WR,29,16,16,0,0,0,0,0,1,3,3.00,0,179,115,1389,12.08,10,1,1,201,316.2,83,3,9,WhitRo00
10,LeSean McCoy,RB,22,15,13,0,0,0,0,0,207,1080,5.22,7,91,78,592,7.59,2,2,1,219,297.2,83,7,10,McCoLe01
11,Rashard Mendenhall,RB,23,16,16,0,0,0,0,0,324,1273,3.93,13,34,23,167,7.26,0,2,2,218,241.0,82,8,11,MendRa00
12,Michael Vick*,QB,30,12,12,233,372,3018,21,6,100,676,6.76,9,0,0,0,,0,11,3,310,310.3,81,1,12,VickMi00
13,Greg Jennings*,WR,27,16,16,0,0,0,0,0,1,-1,-1.00,0,125,76,1265,16.64,12,2,,198,274.4,81,4,13,JennGr00
14,Matt Forte,RB,25,16,16,0,0,0,0,0,237,1069,4.51,6,70,51,547,10.73,3,3,2,214,264.6,78,9,14,FortMa00
15,Ray Rice,RB,23,16,14,0,0,0,0,0,307,1220,3.97,5,83,63,556,8.83,1,0,,214,276.6,78,10,15,RiceRa00
