Rank,Player Name,Position,Age,Games,Games Started,Passing Completions,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Rushing Attempts,Rushing Yards,Rushing Y/A,Rushing Touchdowns,Receiving Targets,Receiving Receptions,Receiving Yards,Receiving Y/R,Receiving TD,Fumbles,Fumbles Lost,Fantasy Points,Fantasy PPR,Fantasy VBD,Fantasy Position Rank,Fantasy Overall Rank,additional
1,Adrian Peterson*+,RB,27,16,16,0,0,0,0,0,348,2097,6.03,12,51,40,217,5.43,1,4,2,307,347.4,191,1,1,PeteAd01
2,Doug Martin*,RB,23,16,16,0,0,0,0,0,319,1454,4.56,11,70,49,472,9.63,1,1,1,263,311.6,146,2,2,MartDo00
3,Arian Foster*,RB,26,16,16,0,0,0,0,0,351,1424,4.06,15,58,40,217,5.43,2,3,2,262,302.1,145,3,3,FostAr00
4,Marshawn Lynch*+,RB,26,16,15,0,0,0,0,0,315,1590,5.05,11,30,23,196,8.52,1,5,2,247,269.6,130,4,4,LyncMa00
5,Alfred Morris,RB,24,16,16,0,0,0,0,0,335,1613,4.81,13,16,11,77,7.00,0,4,3,241,252.0,124,5,5,MorrAl00
6,Ray Rice*,RB,25,16,16,0,0,0,0,0,257,1143,4.45,9,83,61,478,7.84,1,1,0,222,283.1,105,6,6,RiceRa00
7,Calvin Johnson*+,WR,27,16,16,0,0,0,0,0,0,0,,0,204,122,1964,16.10,5,3,3,220,342.4,102,1,7,JohnCa00
8,Brandon Marshall*+,WR,28,16,16,0,0,0,0,0,1,-2,-2.00,0,192,118,1508,12.78,11,2,0,217,334.6,98,2,8,MarsBr00
9,C.J. Spiller*,RB,25,16,9,0,0,0,0,0,207,1244,6.01,6,57,43,459,10.67,2,3,3,212,255.3,96,7,9,SpilC.00
10,Drew Brees*,QB,33,16,16,422,670,5177,43,19,15,5,0.33,1,0,0,0,,0,5,1,346,345.6,95,1,10,BreeDr00
11,Aaron Rodgers*,QB,29,16,16,371,552,4295,39,8,54,259,4.80,2,1,1,-1,-1.00,0,5,4,344,344.6,93,2,11,RodgAa00
12,Tom Brady*,QB,35,16,16,401,637,4827,34,8,23,32,1.39,4,0,0,0,,0,2,0,340,340.3,90,3,12,BradTo00
13,Dez Bryant,WR,24,16,14,0,0,0,0,0,2,-5,-2.50,0,138,92,1382,15.02,12,5,2,208,299.7,89,3,13,BryaDe01
14,Jamaal Charles*,RB,26,16,15,0,0,0,0,0,285,1509,5.29,5,49,35,236,6.74,1,5,3,205,239.5,88,8,14,CharJa00
15,Trent Richardson,RB,22,15,15,0,0,0,0,0,267,950,3.56,11,70,51,367,7.20,1,3,0,204,254.7,87,9,15,RichTr00
16,Frank Gore*,RB,29,16,16,0,0,0,0,0,258,1214,4.71,8,36,28,234,8.36,1,2,1,203,230.8,86,10,16,GoreFr00
17,A.J. Green*,WR,24,16,16,0,0,0,0,0,4,38,9.50,0,164,97,1350,13.92,11,2,1,203,299.8,84,4,17,GreeA.00
18,Stevan Ridley,RB,23,16,12,0,0,0,0,0,290,1263,4.36,12,14,6,51,8.50,0,4,2,199,205.4,83,11,18,RidlSt00
19,Demaryius Thomas*,WR,25,16,16,0,0,0,0,0,0,0,,0,143,94,1434,15.26,10,3,3,197,291.4,79,5,19,ThomDe03
20,Cam Newton,QB,23,16,16,280,485,3869,19,12,127,741,5.83,8,1,0,6,,0,10,3,323,323.5,73,4,20,NewtCa00
21,Vincent Jackson*,WR,29,16,16,0,0,0,0,0,0,0,,0,147,72,1384,19.22,8,0,0,188,260.4,70,6,21,JackVi00
22,Robert Griffin III*,QB,22,15,15,258,393,3200,20,5,120,815,6.79,7,1,0,0,,0,12,2,318,317.5,67,5,22,GrifRo01
23,Eric Decker,WR,25,16,15,0,0,0,0,0,0,0,,0,122,85,1064,12.52,13,0,0,184,269.4,66,7,23,DeckEr00
24,Andre Johnson*,WR,31,16,16,0,0,0,0,0,0,0,,0,162,112,1598,14.27,4,0,0,184,295.8,65,8,24,JohnAn02
25,Julio Jones*,WR,23,16,15,0,0,0,0,0,6,30,5.00,0,128,79,1198,15.16,10,0,0,183,261.8,64,9,25,JoneJu02
26,Matt Forte,RB,27,15,15,0,0,0,0,0,248,1094,4.41,5,59,44,340,7.73,1,2,1,177,221.4,61,12,26,FortMa00
27,Peyton Manning*+,QB,36,16,16,400,583,4659,37,11,23,6,0.26,0,0,0,0,,0,2,2,311,311.0,60,6,27,MannPe00
28,Chris Johnson,RB,27,16,15,0,0,0,0,0,276,1243,4.50,6,49,36,232,6.44,0,5,4,176,211.5,59,13,28,JohnCh04
29,Roddy White,WR,31,16,15,0,0,0,0,0,0,0,,0,142,92,1351,14.68,7,1,0,177,269.1,59,10,29,WhitRo00
30,Jimmy Graham,TE,26,15,9,0,0,0,0,0,0,0,,0,135,85,982,11.55,9,1,0,152,237.2,56,1,30,GrahJi00
31,Reggie Bush,RB,27,16,16,0,0,0,0,0,227,986,4.34,6,52,35,292,8.34,2,4,2,172,206.8,55,14,31,BushRe00
32,Matt Ryan*,QB,27,16,16,422,615,4719,32,14,34,141,4.15,1,0,0,0,,0,3,2,305,304.9,54,7,32,RyanMa00
33,Wes Welker*,WR,31,16,12,0,0,0,0,0,2,20,10.00,0,174,118,1354,11.47,6,3,1,171,289.4,53,12,33,WelkWe00
34,Marques Colston,WR,29,16,13,0,0,0,0,0,0,0,,0,130,83,1154,13.90,10,4,2,171,254.4,53,11,34,ColsMa00
35,Shonn Greene,RB,27,16,14,0,0,0,0,0,276,1063,3.85,8,30,19,151,7.95,0,4,1,167,186.4,51,15,35,GreeSh00
36,Victor Cruz*,WR,26,16,16,0,0,0,0,0,0,0,,0,143,86,1092,12.70,10,0,0,169,255.2,51,13,36,CruzVi00
37,Rob Gronkowski*,TE,23,11,11,0,0,0,0,0,0,0,,0,79,55,790,14.36,11,1,1,143,198.0,47,2,37,GronRo00
38,Michael Crabtree,WR,25,16,16,0,0,0,0,0,1,8,8.00,0,127,85,1105,13.00,9,0,0,165,250.3,47,14,38,CrabMi00
39,Steven Jackson,RB,29,16,16,0,0,0,0,0,258,1045,4.05,4,53,38,321,8.45,0,0,0,163,200.6,46,16,39,JackSt00
40,Tony Gonzalez*+,TE,36,16,16,0,0,0,0,0,0,0,,0,124,93,930,10.00,8,0,0,141,234.0,45,3,40,GonzTo00
41,Reggie Wayne*,WR,34,16,15,0,0,0,0,0,1,-5,-5.00,0,195,106,1355,12.78,5,1,1,163,269.0,45,15,41,WaynRe00
42,James Jones,WR,28,16,16,0,0,0,0,0,0,0,,0,98,64,784,12.25,14,0,0,162,226.4,44,16,42,JoneJa04
43,Randall Cobb,WR,22,15,8,0,0,0,0,0,10,132,13.20,0,104,80,954,11.93,8,4,1,161,240.6,42,17,43,CobbRa00
44,Michael Turner,RB,30,16,16,0,0,0,0,0,222,800,3.60,10,30,19,128,6.74,1,3,1,157,175.8,40,17,44,TurnMi00
45,Ahmad Bradshaw,RB,26,14,12,0,0,0,0,0,221,1015,4.59,6,31,23,245,10.65,0,3,3,156,179.0,39,18,45,BradAh00
46,Mike Williams,WR,25,16,16,1,1,28,0,0,0,0,,0,126,63,996,15.81,9,0,0,155,217.7,36,18,46,WillMi04
47,Heath Miller*,TE,30,15,15,0,0,0,0,0,0,0,,0,101,71,816,11.49,8,0,0,132,202.6,36,4,47,MillHe00
48,BenJarvus Green-Ellis,RB,27,15,15,0,0,0,0,0,278,1094,3.94,6,30,22,104,4.73,0,3,2,152,173.8,35,19,48,GreeBe00
49,Mikel Leshoure,RB,22,14,14,0,0,0,0,0,215,798,3.71,9,49,34,214,6.29,0,3,3,149,183.2,33,20,49,LeshMi00
50,LeSean McCoy,RB,24,12,12,0,0,0,0,0,200,840,4.20,2,67,54,373,6.91,3,4,3,145,199.3,29,21,50,McCoLe01
51,Tony Romo,QB,32,16,16,425,648,4903,28,19,30,49,1.63,1,1,1,-1,-1.00,0,6,3,279,279.9,28,8,51,RomoTo00
52,Russell Wilson*,QB,24,16,16,252,393,3118,26,10,94,489,5.20,4,0,0,0,,0,6,3,278,277.6,27,9,52,WilsRu00
