Rank,Player Name,Position,Age,Games,Games Started,Passing Completions,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Rushing Attempts,Rushing Yards,Rushing Y/A,Rushing Touchdowns,Receiving Targets,Receiving Receptions,Receiving Yards,Receiving Y/R,Receiving TD,Fumbles,Fumbles Lost,Fantasy Points,Fantasy PPR,Fantasy VBD,Fantasy Position Rank,Fantasy Overall Rank,additional
53,Jason Witten*,TE,30,16,16,0,0,0,0,0,0,0,,0,147,110,1039,9.45,3,0,0,122,231.9,26,5,53,WittJa00
54,Andrew Luck*,QB,23,16,16,339,627,4374,23,18,62,255,4.11,5,0,0,0,,0,10,5,276,276.5,26,10,54,LuckAn00
55,Matthew Stafford,QB,24,16,16,435,727,4967,20,17,35,126,3.60,4,1,1,3,3.00,0,6,4,276,276.6,25,11,55,StafMa00
56,Darren Sproles,RB,29,13,6,0,0,0,0,0,48,244,5.08,1,104,75,667,8.89,7,0,0,141,216.1,24,22,56,SproDa00
57,Steve Smith Sr.,WR,33,16,16,0,0,0,0,0,3,27,9.00,0,137,73,1174,16.08,4,1,1,142,215.1,24,19,57,SmitSt01
58,Lance Moore,WR,29,15,7,0,0,0,0,0,0,0,,0,104,65,1041,16.02,6,0,0,140,205.1,22,20,58,MoorLa00
59,Steve Johnson,WR,26,16,16,0,0,0,0,0,0,0,,0,148,79,1046,13.24,6,1,1,139,217.6,20,21,59,JohnSt00
60,Cecil Shorts,WR,25,14,9,0,0,0,0,0,1,-4,-4.00,0,105,55,979,17.80,7,1,1,138,192.5,19,22,60,ShorCe00
61,Greg Olsen,TE,27,16,16,0,0,0,0,0,0,0,,0,104,69,843,12.22,5,0,0,114,183.3,19,6,61,OlseGr00
62,T.Y. Hilton,WR,23,15,1,0,1,0,0,0,5,29,5.80,0,90,50,861,17.22,7,1,0,137,187.0,19,23,62,HiltT.00
63,Torrey Smith,WR,23,16,16,0,0,0,0,0,3,9,3.00,0,110,49,855,17.45,8,0,0,134,183.4,16,24,63,SmitTo02
64,DeAngelo Williams,RB,29,16,10,0,0,0,0,0,173,737,4.26,5,20,13,187,14.38,2,2,2,130,143.4,14,23,64,WillDe02
65,Dennis Pitta,TE,27,16,5,0,0,0,0,0,0,0,,0,94,61,669,10.97,7,0,0,109,169.9,13,7,65,PittDe00
66,Mike Wallace,WR,26,15,14,0,0,0,0,0,5,7,1.40,0,119,64,836,13.06,8,2,1,130,194.3,12,25,66,WallMi00
67,Owen Daniels*,TE,30,15,14,0,0,0,0,0,0,0,,0,104,62,716,11.55,6,0,0,108,169.6,12,8,67,DaniOw00
68,Miles Austin,WR,28,16,15,0,0,0,0,0,0,0,,0,119,66,943,14.29,6,1,1,128,194.3,10,26,68,AustMi00
69,Kyle Rudolph*,TE,23,16,16,0,0,0,0,0,0,0,,0,93,53,493,9.30,9,0,0,105,158.3,10,9,69,RudoKy00
70,Brandon Myers,TE,27,16,16,0,0,0,0,0,0,0,,0,105,79,806,10.20,4,0,0,105,183.6,9,10,70,MyerBr00
71,Jeremy Maclin,WR,24,15,15,0,0,0,0,0,0,0,,0,122,69,857,12.42,7,1,1,126,194.7,7,27,71,MaclJe00
72,Jermaine Gresham*,TE,24,16,15,0,0,0,0,0,0,0,,0,94,64,737,11.52,5,2,1,102,165.7,6,11,72,GresJe00
73,Brandon Lloyd,WR,31,16,15,0,0,0,0,0,0,0,,0,131,74,911,12.31,4,0,0,121,195.1,3,28,73,LloyBr00
74,Justin Blackmon,WR,22,16,14,0,0,0,0,0,2,23,11.50,0,132,64,865,13.52,5,1,0,121,184.8,2,29,74,BlacJu00
75,Andy Dalton,QB,25,16,16,329,528,3669,27,16,47,120,2.55,4,0,0,0,,0,4,4,251,250.8,,12,75,DaltAn00
76,Tyler Clutts,,28,16,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,0,,,,2,76,ClutTy00
77,Jordy Nelson,WR,27,12,10,0,0,0,0,0,0,0,,0,73,49,745,15.20,7,0,0,119,167.5,,30,77,NelsJo00
78,Danny Woodhead,RB,27,16,2,0,0,0,0,0,76,301,3.96,4,55,40,446,11.15,3,1,0,117,156.7,,24,78,WoodDa02
79,Josh Freeman,QB,24,16,16,306,558,4065,27,17,39,139,3.56,0,0,0,0,,0,10,2,249,248.5,,13,,FreeJo00
80,Joe Flacco,QB,27,16,16,317,531,3817,22,10,32,22,0.69,3,0,0,0,,0,9,4,235,234.9,,14,,FlacJo00
81,Eli Manning*,QB,31,16,16,321,536,3948,26,15,20,30,1.50,0,0,0,0,,0,5,1,233,232.9,,15,,MannEl00
82,Sam Bradford,QB,25,16,16,328,551,3702,21,13,36,124,3.44,1,0,0,0,,0,7,1,230,230.5,,16,,BradSa00
83,Matt Schaub*,QB,31,16,16,350,544,4008,22,12,21,-9,-0.43,0,1,1,-6,-6.00,0,4,0,225,225.8,,17,,SchaMa00
84,Carson Palmer,QB,33,15,15,345,565,4018,22,14,18,36,2.00,1,0,0,0,,0,7,5,224,224.3,,18,,PalmCa00
85,Ben Roethlisberger,QB,30,13,13,284,449,3265,26,8,26,92,3.54,0,0,0,0,,0,6,3,224,223.8,,19,,RoetBe00
86,Ryan Fitzpatrick,QB,30,16,16,306,505,3400,24,16,48,197,4.10,1,0,0,0,,0,8,6,214,213.7,,20,,FitzRy00
87,Philip Rivers,QB,31,16,16,338,527,3606,26,15,27,40,1.48,0,1,0,0,,0,15,7,208,208.2,,21,,RivePh00
88,Christian Ponder,QB,24,16,16,300,483,2935,18,12,60,253,4.22,2,1,1,-15,-15.00,0,7,5,193,194.2,,22,,PondCh00
89,Jay Cutler,QB,29,15,15,255,434,3033,19,14,41,233,5.68,0,0,0,0,,0,8,4,185,184.6,,23,,CutlJa00
90,Ryan Tannehill,QB,24,16,16,282,484,3294,12,13,49,211,4.31,2,0,0,0,,0,9,4,183,182.9,,24,,TannRy00
91,Colin Kaepernick,QB,25,13,7,136,218,1814,10,3,63,415,6.59,5,0,0,0,,0,9,2,174,174.1,,25,,KaepCo00
92,Brandon Weeden,QB,29,15,15,297,517,3385,14,17,27,111,4.11,0,1,0,-9,,0,6,1,166,165.6,,26,,WeedBr00
93,Michael Vick,QB,32,10,10,204,351,2362,12,10,62,332,5.35,1,0,0,0,,0,11,5,152,151.7,,27,,VickMi00
94,Jake Locker,QB,24,11,11,177,314,2176,10,11,41,291,7.10,1,1,0,0,,0,4,4,132,132.1,,28,,LockJa00
95,Alex Smith,QB,28,10,9,153,218,1737,13,5,31,132,4.26,0,0,0,0,,0,4,1,123,122.7,,29,,SmitAl03
96,Anquan Boldin,WR,32,15,15,0,0,0,0,0,1,3,3.00,0,112,65,921,14.17,4,0,0,118,183.4,,31,,BoldAn00
97,Sidney Rice,WR,26,16,16,1,2,25,0,0,2,6,3.00,0,82,50,748,14.96,7,0,0,118,168.4,,32,,RiceSi01
98,Mark Sanchez,QB,26,15,15,246,453,2883,13,18,22,28,1.27,0,0,0,0,,0,14,8,118,118.1,,30,,SancMa00
99,Denarius Moore,WR,24,15,15,0,0,0,0,0,1,-5,-5.00,0,114,51,741,14.53,7,3,0,116,166.6,,34,,MoorDe02
100,Golden Tate,WR,24,15,15,1,1,23,1,0,3,20,6.67,0,68,45,688,15.29,7,1,1,116,160.7,,33,,TateGo00
101,Vick Ballard,RB,22,16,12,0,0,0,0,0,211,814,3.86,2,27,17,152,8.94,1,3,0,115,131.6,,25,,BallVi00
102,Chad Henne,QB,27,10,6,166,308,2084,11,11,19,64,3.37,1,0,1,-6,-6.00,0,4,2,113,114.2,,31,,HennCh01
103,Willis McGahee,RB,31,10,9,0,0,0,0,0,167,731,4.38,4,33,26,221,8.50,0,5,4,113,139.2,,26,,McGaWi00
104,Brian Hartline,WR,26,16,15,0,0,0,0,0,0,0,,0,131,74,1083,14.64,1,1,1,112,186.3,,35,,HartBr00
105,Malcom Floyd,WR,31,14,14,0,0,0,0,0,0,0,,0,85,56,814,14.54,5,0,0,111,167.4,,36,,FloyMa00
106,Darren McFadden,RB,25,12,12,0,0,0,0,0,216,707,3.27,2,63,42,258,6.14,1,2,2,111,152.5,,28,,McFaDa00
107,DeMarco Murray,RB,24,10,10,0,0,0,0,0,161,663,4.12,4,42,35,251,7.17,0,3,2,111,146.4,,27,,MurrDe00
108,Josh Gordon,WR,21,16,13,0,0,0,0,0,0,0,,0,96,50,805,16.10,5,1,1,109,158.5,,38,,GordJo02
109,Andre Roberts,WR,24,15,15,0,0,0,0,0,4,29,7.25,0,114,64,759,11.86,5,1,0,109,172.8,,37,,RobeAn00
110,Danario Alexander,WR,26,10,6,0,1,0,0,0,0,0,,0,62,37,658,17.78,7,0,0,108,144.8,,39,,AlexDa00
111,Antonio Brown,WR,24,13,10,0,2,0,0,1,7,24,3.43,0,106,66,787,11.92,5,4,2,105,171.1,,41,,BrowAn04
112,Percy Harvin,WR,24,9,8,0,0,0,0,0,22,96,4.36,1,85,62,677,10.92,3,2,1,105,167.3,,40,,HarvPe00
113,Santana Moss,WR,33,16,1,0,0,0,0,0,3,14,4.67,0,62,41,573,13.98,8,2,1,105,145.7,,42,,MossSa00
114,Joique Bell,RB,26,16,0,0,0,0,0,0,82,414,5.05,3,68,52,485,9.33,0,2,2,104,155.9,,29,,BellJo01
115,Larry Fitzgerald*,WR,29,16,16,0,0,0,0,0,0,0,,0,156,71,798,11.24,4,0,0,104,174.8,,43,,FitzLa00
116,Brandon Gibson,WR,25,16,13,0,0,0,0,0,0,0,,0,82,51,691,13.55,5,0,0,99,150.1,,44,,GibsBr00
117,Nate Washington,WR,29,16,14,0,0,0,0,0,0,0,,0,89,46,746,16.22,4,1,0,99,144.6,,45,,WashNa00
118,Ryan Mathews,RB,25,12,9,0,0,0,0,0,184,707,3.84,1,56,39,252,6.46,0,2,2,98,136.9,,30,,MathRy00
119,Donnie Avery,WR,28,16,15,0,0,0,0,0,4,9,2.25,0,124,60,781,13.02,3,1,0,97,157.0,,47,,AverDo00
120,Andre Brown,RB,26,10,2,0,0,0,0,0,73,385,5.27,8,17,12,86,7.17,0,0,0,97,109.1,,31,,BrowAn03
121,Jeremy Kerley,WR,24,16,7,1,1,42,0,0,5,8,1.60,0,95,56,827,14.77,2,4,3,97,153.2,,46,,KerlJe00
122,Dwayne Bowe,WR,28,13,12,0,0,0,0,0,0,0,,0,114,59,801,13.58,3,1,1,96,155.1,,48,,BoweDw00
123,Antonio Gates,TE,32,15,15,0,0,0,0,0,0,0,,0,80,49,538,10.98,7,0,0,96,144.8,,12,,GateAn00
124,Brandon LaFell,WR,26,14,12,0,0,0,0,0,3,35,11.67,0,76,44,677,15.39,4,1,0,95,139.2,,49,,LaFeBr00
125,Pierre Thomas,RB,28,15,4,0,0,0,0,0,105,473,4.50,1,53,39,354,9.08,1,0,0,95,133.7,,32,,ThomPi00
126,Blaine Gabbert,QB,23,10,10,162,278,1662,9,6,18,56,3.11,0,0,0,0,,0,5,3,94,94.1,,32,,GabbBl00
127,Pierre Garcon,WR,26,10,10,0,0,0,0,0,2,9,4.50,0,68,44,633,14.39,4,0,0,94,138.2,,50,,GarcPi00
128,Martellus Bennett,TE,25,16,16,0,0,0,0,0,0,0,,0,89,55,626,11.38,5,0,0,93,147.6,,13,,BennMa00
129,Mark Ingram,RB,23,16,5,0,0,0,0,0,156,602,3.86,5,10,6,29,4.83,0,0,0,93,99.1,,33,,IngrMa01
130,Darrius Heyward-Bey,WR,25,15,14,0,0,0,0,0,2,16,8.00,0,80,41,606,14.78,5,0,0,92,133.2,,51,,HeywDa00
131,Felix Jones,RB,25,16,7,0,0,0,0,0,111,402,3.62,3,36,25,262,10.48,2,2,2,92,117.4,,34,,JoneFe00
132,Scott Chandler,TE,27,15,13,0,0,0,0,0,0,0,,0,74,43,571,13.28,6,2,1,91,134.1,,14,,ChanSc00
133,Chris Givens,WR,23,15,12,0,0,0,0,0,3,12,4.00,0,80,42,698,16.62,3,0,0,91,133.0,,52,,GiveCh00
134,Knowshon Moreno,RB,25,8,6,0,0,0,0,0,138,525,3.80,4,26,21,167,7.95,0,1,1,91,112.2,,35,,MoreKn00
135,Greg Little,WR,23,16,16,0,0,0,0,0,2,15,7.50,0,94,53,647,12.21,4,0,0,90,143.2,,53,,LittGr00
136,Jacquizz Rodgers,RB,22,16,0,0,0,0,0,0,94,362,3.85,1,59,53,402,7.58,1,0,0,88,141.4,,36,,RodgJa00
137,Hakeem Nicks,WR,24,13,11,0,0,0,0,0,0,0,,0,100,53,692,13.06,3,0,0,87,140.2,,54,,NickHa01
138,Mike Tolbert,RB,27,16,5,0,0,0,0,0,54,183,3.39,7,39,27,268,9.93,0,0,0,87,114.1,,37,,TolbMi00
139,Nick Foles,QB,23,7,6,161,265,1699,6,5,11,42,3.82,1,0,0,0,,0,8,3,86,86.2,,33,,FoleNi00
140,Vernon Davis,TE,28,16,16,0,0,0,0,0,0,0,,0,61,41,548,13.37,5,0,0,85,125.8,,15,,DaviVe00
141,Kevin Kolb,QB,28,6,5,109,183,1169,8,3,16,100,6.25,1,0,0,0,,0,2,2,85,84.8,,34,,KolbKe00
142,Kendall Wright,WR,23,15,5,0,0,0,0,0,1,4,4.00,0,104,64,626,9.78,4,1,1,85,149.0,,55,,WrigKe01
143,Davone Bess,WR,27,13,13,0,0,0,0,0,0,0,,0,104,61,778,12.75,1,1,0,84,144.8,,57,,BessDa00
144,Brandon Stokley,WR,36,15,9,0,0,0,0,0,0,0,,0,58,45,544,12.09,5,0,0,84,129.4,,56,,StokBr00
145,Danny Amendola,WR,27,11,8,0,0,0,0,0,2,8,4.00,0,101,63,666,10.57,3,3,2,83,146.4,,58,,AmenDa00
146,Kenny Britt,WR,24,14,11,0,0,0,0,0,0,0,,0,90,45,589,13.09,4,2,1,83,127.9,,59,,BritKe00
147,Marcel Reece*,RB,27,16,14,0,0,0,0,0,59,271,4.59,0,73,52,496,9.54,1,2,0,83,134.7,,38,,ReecMa00
148,Bilal Powell,RB,24,14,2,0,0,0,0,0,110,437,3.97,4,36,17,140,8.24,0,0,0,82,98.7,,39,,PoweBi00
149,Jonathan Dwyer,RB,23,13,6,0,0,0,0,0,156,623,3.99,2,25,18,106,5.89,0,2,2,81,98.9,,41,,DwyeJo00
150,DeSean Jackson,WR,26,11,11,0,0,0,0,0,3,-7,-2.33,0,87,45,700,15.56,2,1,0,81,126.3,,60,,JackDe00
151,Fred Jackson,RB,31,10,8,0,0,0,0,0,115,437,3.80,3,42,34,217,6.38,1,5,4,81,115.4,,40,,JackFr02
152,Bryce Brown,RB,21,16,4,0,0,0,0,0,115,564,4.90,4,19,13,56,4.31,0,4,3,80,93.0,,42,,BrowBr02
153,Andrew Hawkins,WR,26,14,2,0,0,0,0,0,6,30,5.00,0,80,51,533,10.45,4,1,0,80,131.3,,61,,HawkAn00
154,Aaron Hernandez,TE,23,10,10,0,0,0,0,0,1,5,5.00,0,83,51,483,9.47,5,0,0,79,129.8,,16,,HernAa00
155,Matt Cassel,QB,30,9,8,161,277,1796,6,12,27,145,5.37,1,0,0,0,,0,9,7,78,78.3,,35,,CassMa00
156,Lance Kendricks,TE,24,16,14,0,0,0,0,0,0,0,,0,64,42,519,12.36,4,1,0,78,119.9,,18,,KendLa00
157,Marcedes Lewis,TE,28,16,15,0,0,0,0,0,0,0,,0,77,52,540,10.38,4,0,0,78,130.0,,17,,LewiMa00
158,Michael Bush,RB,28,13,1,0,0,0,0,0,114,411,3.61,5,11,9,83,9.22,0,1,1,77,86.4,,43,,BushMi00
159,Jermichael Finley,TE,25,16,14,0,0,0,0,0,0,0,,0,87,61,667,10.93,2,1,1,77,137.7,,19,,FinlJe00
160,Matt Hasselbeck,QB,37,8,5,138,221,1367,7,5,13,38,2.92,0,0,0,0,,0,3,1,76,76.5,,36,,HassMa00
161,Rod Streater,WR,24,16,2,0,0,0,0,0,0,0,,0,74,39,584,14.97,3,1,1,76,115.4,,62,,StreRo00
162,Jared Cook,TE,25,13,5,0,0,0,0,0,0,0,,0,73,44,523,11.89,4,1,1,74,118.3,,20,,CookJa02
163,Leonard Hankerson,WR,23,16,5,0,0,0,0,0,2,5,2.50,0,57,38,543,14.29,3,0,0,73,110.8,,63,,HankLe00
164,David Wilson,RB,21,16,2,0,0,0,0,0,71,358,5.04,4,9,4,34,8.50,1,1,1,73,77.2,,44,,WilsDa01
165,Brent Celek,TE,27,15,14,0,0,0,0,0,0,0,,0,88,57,684,12.00,1,1,1,72,129.4,,21,,CeleBr00
166,Josh Morgan,WR,27,16,15,0,1,0,0,0,3,25,8.33,0,73,48,510,10.63,2,1,0,72,119.5,,64,,MorgJo00
167,Dwayne Allen,TE,22,16,16,0,0,0,0,0,3,5,1.67,0,66,45,521,11.58,3,1,0,71,115.6,,23,,AlleDw00
168,Brandon Pettigrew,TE,27,14,11,0,0,0,0,0,0,0,,0,102,59,567,9.61,3,4,2,71,129.7,,22,,PettBr00
169,Isaac Redman,RB,28,14,5,0,0,0,0,0,110,410,3.73,2,23,19,244,12.84,0,3,3,71,90.4,,45,,RedmIs20
170,LaRod Stephens-Howling,RB,25,14,5,0,0,0,0,0,110,356,3.24,4,30,17,106,6.24,0,0,0,70,87.2,,46,,StepLa00
171,Domenik Hixon,WR,28,13,3,0,0,0,0,0,0,0,,0,59,39,567,14.54,2,0,0,69,107.7,,65,,HixoDo00
172,Kevin Ogletree,WR,25,15,1,0,0,0,0,0,2,9,4.50,0,55,32,436,13.63,4,0,0,69,100.5,,66,,OgleKe00
173,Dallas Clark,TE,33,16,7,0,0,0,0,0,0,0,,0,75,47,435,9.26,4,0,0,68,114.5,,25,,ClarDa00
174,Donald Jones,WR,25,12,10,0,0,0,0,0,0,0,,0,67,41,443,10.80,4,1,0,68,109.3,,67,,JoneDo00
175,Jacob Tamme,TE,27,16,8,0,0,0,0,0,0,0,,0,85,52,555,10.67,2,0,0,68,119.5,,26,,TammJa00
176,Daniel Thomas,RB,25,12,0,0,0,0,0,0,91,325,3.57,4,22,15,156,10.40,0,3,2,68,83.1,,47,,ThomDa03
177,Ben Watson,TE,32,16,14,0,0,0,0,0,0,0,,0,82,49,501,10.22,3,1,0,68,117.1,,24,,WatsBe00
178,Jackie Battle,RB,29,16,5,0,0,0,0,0,95,311,3.27,3,15,15,108,7.20,1,0,0,66,80.9,,48,,BattJa00
179,Joel Dreessen,TE,30,16,15,0,0,0,0,0,0,0,,0,58,41,356,8.68,5,0,0,66,106.6,,27,,DreeJo00
180,Michael Floyd,WR,23,16,3,0,0,0,0,0,0,0,,0,86,45,562,12.49,2,1,1,66,111.2,,68,,FloyMi00
181,Jason Avant,WR,29,14,6,0,0,0,0,0,0,0,,0,76,53,648,12.23,0,1,0,65,117.8,,71,,AvanJa00
182,Anthony Fasano,TE,28,16,16,0,0,0,0,0,0,0,,0,69,41,332,8.10,5,0,0,65,106.2,,28,,FasaAn00
183,Jacoby Jones*+,WR,28,16,3,0,0,0,0,0,1,6,6.00,0,55,30,406,13.53,1,2,0,65,95.2,,69,,JoneJa03
184,Emmanuel Sanders,WR,25,16,7,0,0,0,0,0,1,4,4.00,0,75,44,626,14.23,1,3,2,65,109.0,,70,,SandEm00
185,Bernard Pierce,RB,21,16,0,0,0,0,0,0,108,532,4.93,1,11,7,47,6.71,0,0,0,64,70.9,,49,,PierBe00
186,Kevin Walter,WR,31,16,14,0,0,0,0,0,0,0,,0,68,41,518,12.63,2,0,0,64,104.8,,73,,WaltKe00
187,Titus Young,WR,23,10,8,0,0,0,0,0,2,16,8.00,0,56,33,383,11.61,4,0,0,64,96.9,,72,,YounTi00
188,Maurice Jones-Drew,RB,27,6,5,0,0,0,0,0,86,414,4.81,1,18,14,86,6.14,1,2,0,62,76.0,,50,,DrewMa00
