Rank,Player Name,Position,Age,Games,Games Started,Passing Completions,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Rushing Attempts,Rushing Yards,Rushing Y/A,Rushing Touchdowns,Receiving Targets,Receiving Receptions,Receiving Yards,Receiving Y/R,Receiving TD,Fumbles,Fumbles Lost,Fantasy Points,Fantasy PPR,Fantasy VBD,Fantasy Position Rank,Fantasy Overall Rank,additional
37,Cameron Brate,TE,25,15,10,0,0,0,0,0,0,0,,0,81,57,660,11.58,8,1,0,114,171.0,27,6,37,BratCa00
38,Dak Prescott*,QB,23,16,16,311,459,3667,23,4,57,282,4.95,6,0,0,0,,0,9,4,287,286.9,26,6,38,PresDa01
39,Martellus Bennett,TE,29,16,12,0,0,0,0,0,2,10,5.00,0,73,55,701,12.75,7,0,0,113,168.1,26,7,39,BennMa00
40,Michael Crabtree,WR,29,16,16,0,0,0,0,0,0,0,,0,145,89,1003,11.27,8,2,0,150,239.3,24,12,40,CrabMi00
41,Spencer Ware,RB,25,14,14,0,0,0,0,0,214,921,4.30,3,42,33,447,13.55,2,4,3,161,193.8,24,16,41,WareSp00
42,Amari Cooper*,WR,22,16,14,0,0,0,0,0,1,0,0.00,0,132,83,1153,13.89,5,2,0,149,232.3,23,13,42,CoopAm00
43,Lamar Miller,RB,25,14,14,0,0,0,0,0,268,1073,4.00,5,39,31,188,6.06,1,2,1,160,191.1,23,18,43,MillLa01
44,Tevin Coleman,RB,23,13,0,0,0,0,0,0,118,520,4.41,8,40,31,421,13.58,3,1,0,160,191.1,23,17,44,ColeTe01
45,Tyrell Williams,WR,24,16,12,0,0,0,0,0,0,0,,0,119,69,1059,15.35,7,0,0,148,216.9,22,14,45,WillTy00
46,Rishard Matthews,WR,27,16,9,0,0,0,0,0,0,0,,0,108,65,945,14.54,9,1,1,147,211.5,20,15,46,MattRi00
47,Matthew Stafford,QB,28,16,16,388,594,4327,24,10,37,207,5.59,2,1,0,0,,0,3,2,280,279.8,19,7,47,StafMa00
48,Jeremy Hill,RB,24,15,13,0,0,0,0,0,222,839,3.78,9,27,21,174,8.29,0,0,0,155,176.3,18,19,48,HillJe01
49,Zach Ertz,TE,26,14,12,0,0,0,0,0,0,0,,0,106,78,816,10.46,4,0,0,106,183.6,18,8,49,ErtzZa00
50,Todd Gurley,RB,22,16,16,0,0,0,0,0,278,885,3.18,6,58,43,327,7.60,0,2,1,155,198.2,18,20,50,GurlTo01
51,Matt Forte,RB,31,14,13,0,0,0,0,0,218,813,3.73,7,43,30,263,8.77,1,1,1,154,183.6,17,21,51,FortMa00
52,Jordan Reed*,TE,26,12,8,0,0,0,0,0,0,0,,0,89,66,686,10.39,6,1,1,103,168.6,15,9,52,ReedJo02
53,Jarvis Landry*,WR,24,16,16,0,1,0,0,0,5,17,3.40,0,131,94,1136,12.09,4,2,2,137,231.3,11,16,53,LandJa00
54,Larry Fitzgerald*,WR,33,16,16,0,1,0,0,0,2,5,2.50,0,150,107,1023,9.56,6,2,1,137,243.8,11,17,54,FitzLa00
55,Tyrod Taylor,QB,27,15,15,269,436,3023,17,6,95,580,6.11,6,0,0,0,,0,4,2,271,270.9,10,8,55,TaylTy00
56,Terrelle Pryor,WR,27,16,15,5,9,41,0,0,8,21,2.63,1,140,77,1007,13.08,4,1,0,136,213.4,10,18,56,PryoTe00
57,Demaryius Thomas*,WR,29,16,16,0,0,0,0,0,0,0,,0,144,90,1083,12.03,5,2,2,136,226.3,10,19,57,ThomDe03
58,Blake Bortles,QB,24,16,16,368,625,3905,23,16,58,359,6.19,3,1,1,20,20.00,1,8,6,270,271.1,9,9,58,BortBl00
59,Kelvin Benjamin,WR,25,16,13,0,0,0,0,0,0,0,,0,118,63,941,14.94,7,1,1,134,197.1,8,20,59,BenjKe00
60,Derek Carr*,QB,25,15,15,357,560,3937,28,6,39,70,1.79,0,0,0,0,,0,5,3,268,268.5,8,10,60,CarrDe02
61,Antonio Gates,TE,36,14,9,0,0,0,0,0,0,0,,0,93,53,548,10.34,7,1,1,95,147.8,8,10,61,GateAn00
62,Russell Wilson,QB,28,16,16,353,546,4219,21,11,72,259,3.60,1,2,2,14,7.00,1,8,2,268,270.1,7,11,62,WilsRu00
63,Emmanuel Sanders*,WR,29,16,16,0,0,0,0,0,1,4,4.00,0,137,79,1032,13.06,5,1,0,134,212.6,7,21,63,SandEm00
64,Hunter Henry,TE,22,15,10,0,0,0,0,0,0,0,,0,53,36,478,13.28,8,1,1,94,129.8,7,11,64,HenrHu00
65,Julian Edelman,WR,30,16,13,0,0,0,0,0,12,57,4.75,0,159,98,1106,11.29,3,3,2,132,230.3,6,22,65,EdelJu00
66,Golden Tate,WR,28,16,16,0,0,0,0,0,10,4,0.40,0,135,91,1077,11.84,4,2,1,132,223.1,6,23,66,TateGo00
67,Mike Wallace,WR,30,16,16,0,0,0,0,0,5,31,6.20,0,116,72,1017,14.13,4,1,0,131,202.8,5,24,67,WallMi00
68,Jamison Crowder,WR,23,16,9,0,0,0,0,0,2,-2,-1.00,0,99,67,847,12.64,7,2,1,131,197.5,4,25,68,CrowJa00
69,Dez Bryant*,WR,28,13,13,1,1,10,1,0,0,0,,0,96,50,796,15.92,8,1,1,130,180.0,4,26,69,BryaDe01
70,Bilal Powell,RB,28,16,4,0,0,0,0,0,131,722,5.51,3,74,58,388,6.69,2,1,1,139,197.0,2,22,70,PoweBi00
71,Kenny Britt,WR,28,15,15,0,0,0,0,0,0,0,,0,111,68,1002,14.74,5,2,1,128,196.2,2,27,71,BritKe00
72,Jonathan Stewart,RB,29,13,13,0,0,0,0,0,218,824,3.78,9,21,8,60,7.50,0,3,2,138,146.4,1,23,72,StewJo00
73,Kenny Stills,WR,24,16,16,0,0,0,0,0,0,0,,0,81,42,726,17.29,9,0,0,127,168.6,,28,73,StilKe00
74,Allen Robinson,WR,23,16,16,0,0,0,0,0,0,0,,0,151,73,883,12.10,6,1,0,126,199.3,,29,74,RobiAl02
75,Andy Dalton*,QB,29,16,16,364,563,4206,18,8,46,184,4.00,4,0,0,0,,0,9,3,261,260.6,,12,75,DaltAn00
76,Coby Fleener,TE,28,16,8,0,0,0,0,0,1,2,2.00,1,81,50,631,12.62,3,2,0,87,137.3,,12,76,FleeCo00
77,Adam Thielen,WR,26,16,10,0,0,0,0,0,2,15,7.50,0,92,69,967,14.01,5,2,1,126,195.2,,30,77,ThieAd00
78,Terrance West,RB,25,16,13,0,0,0,0,0,193,774,4.01,5,45,34,236,6.94,1,2,0,137,171.0,,24,78,WestTe00
79,Marcus Mariota,QB,23,15,15,276,451,3426,26,9,60,349,5.82,2,1,0,0,,0,10,5,260,259.9,,13,,MariMa01
80,Tom Brady*,QB,39,12,12,291,432,3554,28,2,28,64,2.29,0,0,0,0,,0,5,0,259,258.6,,15,,BradTo00
81,Philip Rivers*,QB,35,16,16,349,578,4386,33,21,14,35,2.50,0,0,0,0,,0,9,5,259,258.9,,14,,RivePh00
82,Jameis Winston,QB,22,16,16,345,567,4090,28,18,53,165,3.11,1,0,0,0,,0,10,6,256,256.1,,16,,WinsJa00
83,Cam Newton,QB,27,15,14,270,510,3509,19,14,90,359,3.99,5,0,0,0,,0,3,2,254,254.3,,17,,NewtCa00
84,Ben Roethlisberger*,QB,34,14,14,328,509,3819,29,13,16,14,0.88,1,0,0,0,,0,8,2,252,252.2,,18,,RoetBe00
85,Carson Palmer,QB,37,15,15,364,597,4233,26,14,14,38,2.71,0,0,0,0,,0,14,4,243,243.1,,19,,PalmCa00
86,Joe Flacco,QB,31,16,16,436,672,4317,20,15,21,58,2.76,2,0,0,0,,0,5,3,242,242.5,,20,,FlacJo00
87,Eli Manning,QB,35,16,16,377,598,4027,26,16,21,-9,-0.43,0,0,0,0,,0,7,4,224,224.2,,21,,MannEl00
88,Alex Smith*,QB,32,15,15,328,489,3502,15,8,48,134,2.79,5,1,1,3,3.00,0,7,4,224,224.8,,22,,SmitAl03
89,Sam Bradford,QB,29,15,15,395,552,3877,20,5,20,53,2.65,0,1,1,5,5.00,0,10,5,221,221.9,,23,,BradSa00
90,Carson Wentz,QB,24,16,16,379,607,3782,16,14,46,150,3.26,2,1,1,7,7.00,0,14,3,213,214.0,,24,,WentCa00
91,Colin Kaepernick,QB,29,12,11,196,331,2241,16,4,69,468,6.78,2,0,0,0,,0,9,3,200,200.4,,25,,KaepCo00
92,Trevor Siemian,QB,25,14,14,289,486,3401,18,10,28,57,2.04,0,0,0,0,,0,4,2,192,191.7,,26,,SiemTr00
93,Ryan Tannehill,QB,28,13,13,261,389,2995,19,12,39,164,4.21,1,0,0,0,,0,9,3,190,190.2,,27,,TannRy00
94,Brock Osweiler,QB,26,15,14,301,510,2957,15,16,30,131,4.37,2,1,1,-14,-14.00,0,5,1,168,169.0,,28,,OsweBr00
95,Ryan Fitzpatrick,QB,34,14,11,228,403,2710,12,17,33,130,3.94,0,0,0,0,,0,9,1,133,133.4,,29,,FitzRy00
96,Ryan Mathews,RB,29,13,8,0,0,0,0,0,155,661,4.26,8,14,13,115,8.85,1,3,2,132,144.6,,25,,MathRy00
97,DeSean Jackson,WR,30,15,15,0,0,0,0,0,0,0,,0,100,56,1005,17.95,4,0,0,125,180.5,,31,,JackDe00
98,Pierre Garcon,WR,30,16,16,0,0,0,0,0,0,0,,0,114,79,1041,13.18,3,0,0,122,201.1,,32,,GarcPi00
99,Brandon LaFell,WR,30,16,14,0,0,0,0,0,1,-2,-2.00,0,107,64,862,13.47,6,0,0,122,186.0,,33,,LaFeBr00
100,Robert Kelley,RB,24,15,9,0,0,0,0,0,168,704,4.19,6,18,12,82,6.83,1,0,0,121,132.6,,26,,KellRo00
101,A.J. Green*,WR,28,10,10,0,0,0,0,0,0,0,,0,100,66,964,14.61,4,0,0,120,186.4,,34,,GreeA.00
102,Willie Snead,WR,24,15,4,1,1,50,1,0,0,0,,0,104,72,895,12.43,4,2,0,120,191.5,,35,,SneaWi00
103,DeAndre Hopkins,WR,24,16,16,0,0,0,0,0,0,0,,0,151,78,954,12.23,4,0,0,119,197.4,,36,,HopkDe00
104,Sterling Shepard,WR,23,16,16,0,0,0,0,0,3,31,10.33,0,105,65,683,10.51,8,0,0,119,184.4,,37,,ShepSt00
105,Mike Gillislee,RB,26,15,1,0,0,0,0,0,101,577,5.71,8,11,9,50,5.56,1,1,0,117,125.7,,27,,GillMi00
106,Marvin Jones,WR,26,15,15,0,0,0,0,0,1,3,3.00,0,103,55,930,16.91,4,0,0,117,172.3,,38,,JoneMa02
107,Marqise Lee,WR,25,16,6,1,1,20,1,0,6,35,5.83,0,105,63,851,13.51,3,1,1,115,178.4,,39,,LeexMa00
108,Christine Michael,RB,26,15,7,0,0,0,0,0,148,583,3.94,7,29,22,107,4.86,1,2,1,115,137.0,,28,,MichCh00
109,Cole Beasley,WR,27,16,6,0,1,0,0,0,1,7,7.00,0,98,75,833,11.11,5,0,0,114,189.0,,40,,BeasCo00
110,Steve Smith Sr.,WR,37,14,14,0,0,0,0,0,0,0,,0,101,70,799,11.41,5,0,0,114,183.9,,41,,SmitSt01
111,Cameron Meredith,WR,24,14,10,1,1,2,1,0,1,6,6.00,0,97,66,888,13.45,4,3,2,113,179.5,,42,,MereCa00
112,Devontae Booker,RB,24,16,6,0,0,0,0,0,174,612,3.52,4,45,31,265,8.55,1,4,3,112,142.7,,29,,BookDe00
113,Quincy Enunwa,WR,24,16,13,0,0,0,0,0,1,12,12.00,0,105,58,857,14.78,4,0,0,111,168.9,,43,,EnunQu00
114,Case Keenum,QB,28,10,9,196,322,2201,9,11,20,51,2.55,1,0,0,0,,0,5,1,111,111.1,,30,,KeenCa00
115,Darren Sproles*,RB,33,15,5,0,0,0,0,0,94,438,4.66,2,71,52,427,8.21,2,1,0,111,162.5,,30,,SproDa00
116,Stefon Diggs,WR,23,13,11,0,0,0,0,0,3,10,3.33,0,112,84,903,10.75,3,0,0,109,193.3,,44,,DiggSt00
117,Theo Riddick,RB,25,10,8,0,0,0,0,0,92,357,3.88,1,67,53,371,7.00,5,0,0,109,161.8,,31,,RiddTh00
118,Anquan Boldin,WR,36,16,16,0,0,0,0,0,0,0,,0,95,67,584,8.72,8,0,0,106,173.4,,45,,BoldAn00
119,Taylor Gabriel,WR,25,13,3,0,0,0,0,0,4,51,12.75,1,50,35,579,16.54,6,0,0,105,140.0,,47,,GabrTa00
120,Ted Ginn Jr.,WR,31,16,8,0,0,0,0,0,14,98,7.00,0,95,54,752,13.93,4,3,2,105,159.0,,48,,GinnTe00
121,Tim Hightower,RB,30,16,1,0,0,0,0,0,133,548,4.12,4,26,22,200,9.09,1,0,0,105,126.8,,33,,HighTi00
122,Dontrelle Inman,WR,27,16,16,0,0,0,0,0,0,0,,0,97,58,810,13.97,4,0,0,105,163.0,,49,,InmaDo00
123,Jerick McKinnon,RB,24,15,7,0,1,0,0,0,159,539,3.39,2,53,43,255,5.93,2,0,0,105,148.4,,32,,McKiJe00
124,JJ Nelson,WR,24,15,6,0,0,0,0,0,4,83,20.75,1,74,34,568,16.71,6,1,1,105,139.1,,46,,NelsJJ00
125,Rashad Jennings,RB,31,13,12,0,0,0,0,0,181,593,3.28,3,42,35,201,5.74,1,1,0,103,138.4,,34,,JennRa00
126,James White,RB,24,16,4,0,0,0,0,0,39,166,4.26,0,86,60,551,9.18,5,0,0,102,161.7,,35,,WhitJa02
127,Chris Thompson,RB,26,16,0,0,0,0,0,0,68,356,5.24,3,62,49,349,7.12,2,2,1,99,147.5,,36,,ThomCh03
128,Jordan Matthews,WR,24,14,13,0,0,0,0,0,0,0,,0,117,73,804,11.01,3,1,0,98,171.4,,50,,MattJo00
129,DeVante Parker,WR,23,15,8,0,0,0,0,0,0,0,,0,87,56,744,13.29,4,0,0,98,154.4,,51,,ParkDe01
130,Brandon Marshall,WR,32,15,15,0,0,0,0,0,0,0,,0,128,59,788,13.36,3,0,0,97,155.8,,52,,MarsBr00
131,Ty Montgomery,RB,23,15,6,0,0,0,0,0,77,457,5.94,3,56,44,348,7.91,0,2,1,97,140.5,,37,,MontTy01
132,Alshon Jeffery,WR,26,12,12,0,0,0,0,0,0,0,,0,94,52,821,15.79,2,0,0,94,146.1,,53,,JeffAl00
133,Derrick Henry,RB,22,15,2,0,0,0,0,0,110,490,4.45,5,15,13,137,10.54,0,0,0,93,105.7,,38,,HenrDe00
134,Chris Hogan,WR,29,15,14,0,0,0,0,0,3,9,3.00,0,58,38,680,17.89,4,1,1,91,128.9,,54,,HogaCh00
135,Duke Johnson,RB,23,16,1,0,1,0,0,0,73,358,4.90,1,74,53,514,9.70,0,2,1,91,144.2,,39,,JohnDu00
136,Mohamed Sanu,WR,27,15,15,0,0,0,0,0,1,5,5.00,0,81,59,653,11.07,4,1,1,90,148.8,,55,,SanuMo00
137,Tavon Austin,WR,26,15,15,0,0,0,0,0,28,159,5.68,1,106,58,509,8.78,3,5,1,89,146.8,,56,,AustTa00
138,Randall Cobb,WR,26,13,10,0,0,0,0,0,10,33,3.30,0,84,60,610,10.17,4,1,0,88,148.3,,57,,CobbRa00
139,T.J. Yeldon,RB,23,15,13,0,0,0,0,0,130,465,3.58,1,68,50,312,6.24,1,2,1,88,137.7,,40,,YeldT.00
140,C.J. Anderson,RB,25,7,7,0,0,0,0,0,110,437,3.97,4,24,16,128,8.00,1,0,0,87,102.5,,41,,AndeC.00
141,Jalen Richard,RB,23,16,0,0,0,0,0,0,83,491,5.92,1,39,29,194,6.69,2,0,0,87,115.5,,42,,RichJa01
142,Jack Doyle,TE,26,16,14,0,0,0,0,0,0,0,,0,75,59,584,9.90,5,1,1,86,145.4,,13,,DoylJa00
143,Travis Benjamin,WR,27,14,8,0,1,0,0,0,2,-3,-1.50,0,75,47,677,14.40,4,5,3,85,132.4,,58,,BenjTr00
144,Giovani Bernard,RB,25,10,2,0,0,0,0,0,91,337,3.70,2,51,39,336,8.62,1,1,1,83,122.3,,43,,BernGi00
145,Eric Ebron,TE,23,13,13,0,0,0,0,0,1,1,1.00,1,85,61,711,11.66,1,0,0,83,144.2,,15,,EbroEr00
146,Jeremy Kerley,WR,28,16,13,0,0,0,0,0,0,0,,0,115,64,667,10.42,3,4,1,83,146.7,,60,,KerlJe00
147,Tyler Lockett,WR,24,15,9,0,0,0,0,0,6,114,19.00,1,66,41,597,14.56,1,0,0,83,124.1,,59,,LockTy00
148,Dennis Pitta,TE,31,16,12,0,0,0,0,0,0,0,,0,121,86,729,8.48,2,1,1,83,168.9,,16,,PittDe00
149,Jason Witten,TE,34,16,16,0,0,0,0,0,0,0,,0,95,69,673,9.75,3,1,1,83,152.3,,14,,WittJa00
150,Robert Turbin,RB,27,15,0,0,0,0,0,0,47,164,3.49,7,35,26,179,6.88,1,0,0,82,108.3,,44,,TurbRo00
151,DeAngelo Williams,RB,33,9,4,0,0,0,0,0,98,343,3.50,4,27,18,118,6.56,2,0,0,82,100.1,,45,,WillDe02
152,Will Fuller,WR,22,14,13,0,0,0,0,0,1,-3,-3.00,0,92,47,635,13.51,2,2,0,81,128.2,,62,,FullWi01
153,Terrance Williams,WR,27,16,15,0,0,0,0,0,0,0,,0,61,44,594,13.50,4,1,1,81,125.4,,61,,WillTe01
154,Shaun Draughn,RB,29,16,1,0,0,0,0,0,74,196,2.65,4,39,29,263,9.07,2,1,1,80,108.9,,46,,DrauSh00
155,C.J. Fiedorowicz,TE,25,15,15,0,0,0,0,0,0,0,,0,89,54,559,10.35,4,1,0,80,133.9,,17,,FiedC.00
156,Brian Hoyer,QB,31,6,5,134,200,1445,6,0,7,-2,-0.29,0,0,0,0,,0,3,1,80,79.6,,31,,HoyeBr00
157,Dwayne Allen,TE,26,14,14,0,0,0,0,0,0,0,,0,52,35,406,11.60,6,1,0,79,113.6,,19,,AlleDw00
158,Charles Clay,TE,27,15,15,0,0,0,0,0,0,0,,0,87,57,552,9.68,4,0,0,79,136.2,,18,,ClayCh00
159,Michael Floyd,WR,27,15,8,0,0,0,0,0,0,0,,0,76,37,488,13.19,5,0,0,79,115.8,,63,,FloyMi00
160,Adam Humphries,WR,23,15,4,0,0,0,0,0,5,18,3.60,0,83,55,622,11.31,2,3,0,78,133.0,,64,,HumpAd00
161,Jacquizz Rodgers,RB,26,10,5,0,0,0,0,0,129,560,4.34,2,16,13,98,7.54,0,0,0,78,90.8,,47,,RodgJa00
162,Eli Rogers,WR,24,13,8,0,0,0,0,0,1,6,6.00,0,66,48,594,12.38,3,2,0,78,126.0,,65,,RogeEl00
163,Cody Kessler,QB,23,9,8,128,195,1380,6,2,11,18,1.64,0,0,0,0,,0,4,1,77,77.0,,32,,KessCo00
164,Gary Barnidge,TE,31,16,16,0,0,0,0,0,0,0,,0,82,55,612,11.13,2,0,0,75,130.2,,20,,BarnGa01
165,Chris Ivory,RB,28,11,1,0,0,0,0,0,117,439,3.75,3,28,20,186,9.30,0,5,3,75,94.5,,49,,IvorCh00
166,Zach Zenner,RB,25,14,4,0,0,0,0,0,88,334,3.80,4,23,18,196,10.89,0,1,1,75,93.0,,48,,ZennZa00
167,Brian Quick,WR,27,16,8,0,0,0,0,0,0,0,,0,77,41,564,13.76,3,0,0,74,115.4,,66,,QuicBr00
168,Seth Roberts,WR,25,16,6,0,0,0,0,0,0,0,,0,77,38,397,10.45,5,0,0,74,111.7,,67,,RobeSe00
169,Chosen Anderson,WR,23,16,8,0,0,0,0,0,3,42,14.00,0,78,42,587,13.98,2,1,1,73,114.9,,68,,AndeRo04
170,Blaine Gabbert,QB,27,6,5,91,160,925,5,6,40,173,4.33,2,1,1,-16,-16.00,0,0,0,73,73.7,,33,,GabbBl00
171,Zach Miller,TE,32,10,8,0,0,0,0,0,0,0,,0,64,47,486,10.34,4,0,0,73,119.6,,21,,MillZa02
172,Donte Moncrief,WR,23,9,7,0,0,0,0,0,1,-1,-1.00,0,56,30,307,10.23,7,0,0,73,102.6,,69,,MoncDo00
173,Kenneth Dixon,RB,22,12,0,0,0,0,0,0,88,382,4.34,2,41,30,162,5.40,1,1,0,72,102.4,,50,,DixoKe00
174,Rob Gronkowski,TE,27,8,6,0,0,0,0,0,0,0,,0,38,25,540,21.60,3,0,0,72,97.0,,22,,GronRo00
175,Doug Martin,RB,27,8,8,0,0,0,0,0,144,421,2.92,3,16,14,134,9.57,0,1,1,72,85.5,,51,,MartDo00
176,Matt Barkley,QB,26,7,6,129,216,1611,8,14,7,2,0.29,0,1,1,2,2.00,1,4,2,71,71.8,,34,,BarkMa00
177,Tyler Boyd,WR,22,16,2,0,0,0,0,0,4,58,14.50,0,81,54,603,11.17,1,1,1,70,124.1,,70,,BoydTy00
178,Vernon Davis,TE,32,16,14,0,0,0,0,0,0,0,,0,59,44,583,13.25,2,0,0,70,114.3,,23,,DaviVe00
179,Damien Williams,RB,24,15,0,0,0,0,0,0,35,115,3.29,3,32,23,249,10.83,3,1,1,70,93.4,,52,,WillDa05
180,Tyler Eifert,TE,26,8,2,0,0,0,0,0,0,0,,0,47,29,394,13.59,5,0,0,69,98.4,,24,,EifeTy00
181,Cordarrelle Patterson*+,WR,25,16,8,0,0,0,0,0,7,43,6.14,0,70,52,453,8.71,2,2,0,68,119.6,,73,,PattCo00
182,Breshad Perriman,WR,23,16,1,0,0,0,0,0,1,2,2.00,0,66,33,499,15.12,3,0,0,68,101.1,,71,,PerrBr02
183,DeAndre Washington,RB,23,14,2,0,0,0,0,0,87,467,5.37,2,23,17,115,6.76,0,1,1,68,85.2,,53,,WashDe00
184,Robert Woods,WR,24,13,10,0,0,0,0,0,1,6,6.00,0,76,51,613,12.02,1,0,0,68,118.9,,72,,WoodRo02
185,Matt Jones,RB,23,7,7,0,0,0,0,0,99,460,4.65,3,8,8,73,9.13,0,3,2,67,75.3,,54,,JoneMa04
186,Phillip Dorsett,WR,23,15,7,0,0,0,0,0,2,10,5.00,0,59,33,528,16.00,2,1,0,66,98.8,,74,,DorsPh00
