Rank,Player Name,Position,Age,Games,Games Started,Passing Completions,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Rushing Attempts,Rushing Yards,Rushing Y/A,Rushing Touchdowns,Receiving Targets,Receiving Receptions,Receiving Yards,Receiving Y/R,Receiving TD,Fumbles,Fumbles Lost,Fantasy Points,Fantasy PPR,Fantasy VBD,Fantasy Position Rank,Fantasy Overall Rank,additional
1,David Johnson*+,RB,25,16,16,0,0,0,0,0,293,1239,4.23,16,120,80,879,10.99,4,5,3,328,407.8,191,1,1,JohnDa08
2,Ezekiel Elliott*+,RB,21,15,15,0,0,0,0,0,322,1631,5.07,15,39,32,363,11.34,1,5,1,293,325.4,156,2,2,ElliEz00
3,Aaron Rodgers*,QB,33,16,16,401,610,4428,40,7,67,369,5.51,4,0,0,0,,0,8,4,380,380.0,119,1,3,RodgAa00
4,LeSean McCoy*,RB,28,15,15,0,0,0,0,0,234,1267,5.41,13,57,50,356,7.12,1,3,0,248,298.3,111,3,4,McCoLe01
5,Le'Veon Bell*,RB,24,12,12,0,1,0,0,0,261,1268,4.86,7,94,75,616,8.21,2,4,1,242,317.4,105,4,5,BellLe00
6,DeMarco Murray*,RB,28,16,16,1,2,10,1,0,293,1287,4.39,9,67,53,377,7.11,3,3,1,241,293.8,104,5,6,MurrDe00
7,Devonta Freeman*,RB,24,16,16,0,0,0,0,0,227,1079,4.75,11,65,54,462,8.56,2,1,1,230,284.1,93,6,7,FreeDe00
8,LeGarrette Blount,RB,30,16,8,0,0,0,0,0,299,1161,3.88,18,8,7,38,5.43,0,2,1,226,232.9,89,7,8,BlouLe00
9,Matt Ryan*+,QB,31,16,16,373,534,4944,38,7,35,117,3.34,0,0,0,0,,0,4,2,347,347.5,87,2,9,RyanMa00
10,Mike Evans*,WR,23,16,16,0,0,0,0,0,0,0,,0,173,96,1321,13.76,12,0,0,208,304.1,82,1,10,EvanMi00
11,Jordy Nelson,WR,31,16,16,0,0,0,0,0,0,0,,0,152,97,1257,12.96,14,1,1,208,304.7,82,2,11,NelsJo00
12,Antonio Brown*+,WR,28,15,15,0,0,0,0,0,3,9,3.00,0,154,106,1284,12.11,12,0,0,201,307.3,75,3,12,BrowAn04
13,Melvin Gordon*,RB,23,13,11,0,0,0,0,0,254,997,3.93,10,57,41,419,10.22,2,2,2,210,250.6,73,8,13,GordMe00
14,Drew Brees*,QB,37,16,16,471,673,5208,37,15,23,20,0.87,2,0,0,0,,0,5,4,332,332.3,72,3,14,BreeDr00
15,Odell Beckham Jr.*,WR,24,16,16,0,0,0,0,0,1,9,9.00,0,169,101,1367,13.53,10,3,1,196,296.6,69,4,15,BeckOd00
16,Jordan Howard*,RB,22,15,13,0,0,0,0,0,252,1313,5.21,6,50,29,298,10.28,1,2,1,201,230.1,64,9,16,HowaJo00
17,Mark Ingram,RB,27,16,14,0,0,0,0,0,205,1043,5.09,6,58,46,319,6.93,4,2,2,196,242.2,59,10,17,IngrMa01
18,T.Y. Hilton*,WR,27,16,16,0,0,0,0,0,0,0,,0,155,91,1448,15.91,6,0,0,183,273.8,57,5,18,HiltT.00
19,Jay Ajayi*,RB,23,15,12,0,0,0,0,0,260,1272,4.89,8,35,27,151,5.59,0,4,1,188,215.3,51,11,19,AjayJa00
20,Travis Kelce*+,TE,27,16,15,0,0,0,0,0,1,-5,-5.00,0,117,85,1125,13.24,4,0,0,138,223.0,51,1,20,KelcTr00
21,Julio Jones*+,WR,27,14,14,0,0,0,0,0,0,0,,0,129,83,1409,16.98,6,0,0,177,259.9,51,6,21,JoneJu02
22,Andrew Luck,QB,27,15,15,346,545,4240,31,13,64,341,5.33,2,0,0,0,,0,6,5,308,307.7,47,4,22,LuckAn00
23,Davante Adams,WR,24,16,15,0,0,0,0,0,0,0,,0,121,75,997,13.29,12,2,1,172,246.7,46,7,23,AdamDa01
24,Brandin Cooks,WR,23,16,12,0,0,0,0,0,6,30,5.00,0,117,78,1173,15.04,8,1,0,168,246.3,42,8,24,CookBr00
25,Greg Olsen*,TE,31,16,16,0,0,0,0,0,0,0,,0,129,80,1073,13.41,3,0,0,127,207.3,40,2,25,OlseGr00
26,Kirk Cousins*,QB,28,16,16,406,606,4917,25,12,34,96,2.82,4,0,0,0,,0,9,3,300,300.3,40,5,26,CousKi00
27,Frank Gore,RB,33,16,16,0,0,0,0,0,263,1025,3.90,4,47,38,277,7.29,4,2,1,176,214.2,39,12,27,GoreFr00
28,Kyle Rudolph,TE,27,16,16,0,0,0,0,0,0,0,,0,132,83,840,10.12,7,0,0,126,209.0,39,3,28,RudoKy00
29,Latavius Murray,RB,26,14,12,0,0,0,0,0,195,788,4.04,12,43,33,264,8.00,0,2,1,175,208.2,38,13,29,MurrLa00
30,Michael Thomas,WR,23,15,12,0,0,0,0,0,0,0,,0,121,92,1137,12.36,9,2,2,164,255.7,38,9,30,ThomMi05
31,Jimmy Graham*,TE,30,16,15,0,0,0,0,0,1,0,0.00,0,95,65,923,14.20,6,2,2,124,189.3,37,4,31,GrahJi00
32,Delanie Walker*,TE,32,15,9,0,0,0,0,0,2,11,5.50,0,102,65,800,12.31,7,1,0,123,188.1,36,5,32,WalkHu00
33,Doug Baldwin*,WR,28,16,15,1,1,15,1,0,3,2,0.67,0,125,94,1128,12.00,7,1,0,160,253.6,33,10,33,BaldDo00
34,Tyreek Hill*+,WR,22,16,1,0,0,0,0,0,24,267,11.13,3,83,61,593,9.72,6,4,1,156,217.0,30,11,34,HillTy00
35,Isaiah Crowell,RB,23,16,16,0,0,0,0,0,198,952,4.81,7,53,40,319,7.98,0,2,2,165,205.1,28,14,35,CrowIs00
36,Carlos Hyde,RB,26,13,13,0,0,0,0,0,217,988,4.55,6,33,27,163,6.04,3,5,3,165,192.1,28,15,36,HydeCa00
