,name,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr_x,special_teams_tds,fantasy_points,fantasy_points_ppr,games,tgt_sh,ay_sh,yac_sh,wopr_y,ry_sh,rtd_sh,rfd_sh,rtdfd_sh,dom,w8dom,yptmpa,ppr_sh,total_epa,completions per game,attempts per game,passing_yards per game,passing_tds per game,interceptions per game,sacks per game,sack_yards per game,sack_fumbles per game,sack_fumbles_lost per game,passing_air_yards per game,passing_yards_after_catch per game,passing_first_downs per game,passing_epa per game,passing_2pt_conversions per game,pacr per game,dakota per game,carries per game,rushing_yards per game,rushing_tds per game,rushing_fumbles per game,rushing_fumbles_lost per game,rushing_first_downs per game,rushing_epa per game,rushing_2pt_conversions per game,receptions per game,targets per game,receiving_yards per game,receiving_tds per game,receiving_fumbles per game,receiving_fumbles_lost per game,receiving_air_yards per game,receiving_yards_after_catch per game,receiving_first_downs per game,receiving_epa per game,receiving_2pt_conversions per game,racr per game,air_yards_share per game,wopr_x per game,special_teams_tds per game,fantasy_points per game,fantasy_points_ppr per game,tgt_sh per game,wopr_y per game,dom per game,w8dom per game,yptmpa per game,total_epa per game
0,Marcedes Lewis,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,23,28,214.0,0,1.0,0.0,103.0,144.0,10.0,8.631,0,23.443,0.841,0.413,1.55,0.0,21.4,44.4,13,0.061,0.03,0.079,0.116,0.064,0.0,0.058,0.05,0.032,0.052,0.467,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7692307692307692,2.1538461538461537,16.46153846153846,0.0,0.07692307692307693,0.0,7.923076923076923,11.076923076923077,0.7692307692307693,0.663923076923077,0.0,1.8033076923076925,0.031769230769230765,0.11923076923076924,0.0,1.646153846153846,3.4153846153846152,0.004692307692307692,0.008923076923076924,0.0024615384615384616,0.004,0.035923076923076926,0.0
1,Jared Cook,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,48,83,564.0,4,0.0,0.0,685.0,238.0,31.0,4.172,2,15.063,2.128,2.25,4.767,0.0,84.4,132.4,16,0.129,0.14,0.106,0.305,0.118,0.111,0.128,0.125,0.115,0.117,0.877,0.077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.1875,35.25,0.25,0.0,0.0,42.8125,14.875,1.9375,0.26075,0.125,0.9414375,0.140625,0.2979375,0.0,5.275,8.275,0.0080625,0.0190625,0.0071875,0.0073125,0.0548125,0.0
2,Rob Gronkowski,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,55,89,802.0,6,0.0,0.0,897.0,350.0,34.0,32.714,0,10.696,2.046,2.706,4.963,0.0,116.2,171.2,12,0.168,0.212,0.192,0.422,0.205,0.2,0.173,0.176,0.202,0.204,1.516,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.583333333333333,7.416666666666667,66.83333333333333,0.5,0.0,0.0,74.75,29.166666666666668,2.8333333333333335,2.7261666666666664,0.0,0.8913333333333333,0.2255,0.41358333333333336,0.0,9.683333333333334,14.266666666666666,0.014,0.035166666666666666,0.016833333333333336,0.016999999999999998,0.12633333333333333,0.0
3,Jimmy Graham,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,14,23,167.0,3,0.0,0.0,184.0,55.0,10.0,11.701,1,11.914,0.681,0.61,1.448,0.0,36.7,50.7,11,0.058,0.06,0.044,0.136,0.063,0.25,0.078,0.092,0.156,0.1,0.424,0.058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2727272727272727,2.090909090909091,15.181818181818182,0.2727272727272727,0.0,0.0,16.727272727272727,5.0,0.9090909090909091,1.0637272727272729,0.09090909090909091,1.083090909090909,0.05545454545454545,0.13163636363636363,0.0,3.3363636363636364,4.609090909090909,0.005272727272727273,0.012363636363636365,0.014181818181818183,0.009090909090909092,0.03854545454545454,0.0
4,Kyle Rudolph,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,26,39,257.0,1,0.0,0.0,240.0,137.0,12.0,7.179,1,17.111,1.317,1.292,2.88,0.0,33.7,59.7,15,0.074,0.06,0.1,0.159,0.086,0.071,0.082,0.081,0.079,0.083,0.487,0.059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7333333333333334,2.6,17.133333333333333,0.06666666666666667,0.0,0.0,16.0,9.133333333333333,0.8,0.4786,0.06666666666666667,1.1407333333333334,0.08613333333333334,0.192,0.0,2.246666666666667,3.98,0.004933333333333333,0.0106,0.005266666666666667,0.005533333333333334,0.032466666666666665,0.0
5,Luke Stocker,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,2,2,12.0,0,0.0,0.0,6.0,6.0,0.0,0.365,0,8.0,0.066,0.028,0.118,0.0,1.2,3.2,2,0.031,0.013,0.037,0.058,0.032,0.0,0.0,0.0,0.016,0.026,0.188,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,0.0,0.0,0.0,3.0,3.0,0.0,0.1825,0.0,4.0,0.014,0.059,0.0,0.6,1.6,0.0155,0.029,0.008,0.013,0.094,0.0
6,Lee Smith,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,9,11,65.0,1,0.0,0.0,38.0,31.0,3.0,2.71,0,13.444,0.292,0.138,0.535,0.0,12.5,21.5,6,0.048,0.025,0.044,0.092,0.039,0.1,0.038,0.045,0.07,0.052,0.283,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.8333333333333333,10.833333333333334,0.16666666666666666,0.0,0.0,6.333333333333333,5.166666666666667,0.5,0.45166666666666666,0.0,2.240666666666667,0.023000000000000003,0.08916666666666667,0.0,2.0833333333333335,3.5833333333333335,0.008,0.015333333333333332,0.011666666666666667,0.008666666666666666,0.04716666666666666,0.0
7,Darren Fells,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,4,5,43.0,0,0.0,0.0,24.0,27.0,2.0,0.851,0,4.591,0.156,0.183,0.363,0.0,4.3,8.3,3,0.04,0.038,0.049,0.091,0.051,0.0,0.047,0.043,0.026,0.041,0.344,0.028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,1.6666666666666667,14.333333333333334,0.0,0.0,0.0,8.0,9.0,0.6666666666666666,0.2836666666666667,0.0,1.5303333333333333,0.061,0.121,0.0,1.4333333333333333,2.766666666666667,0.013333333333333334,0.030333333333333334,0.008666666666666666,0.013666666666666667,0.11466666666666665,0.0
8,Zach Ertz,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,1,4.0,0,0.0,0.0,0.0,0.455,0,74,112,763.0,5,0.0,0.0,844.0,340.0,40.0,10.337,0,24.562,3.188,3.552,7.268,0.0,106.7,180.7,17,0.185,0.186,0.147,0.426,0.175,0.238,0.199,0.203,0.207,0.188,1.261,0.118,0.455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.23529411764705882,0.0,0.0,0.0,0.0,0.02676470588235294,0.0,4.352941176470588,6.588235294117647,44.88235294117647,0.29411764705882354,0.0,0.0,49.64705882352941,20.0,2.3529411764705883,0.6080588235294118,0.0,1.4448235294117648,0.20894117647058824,0.4275294117647059,0.0,6.276470588235294,10.629411764705882,0.01088235294117647,0.025058823529411765,0.012176470588235294,0.011058823529411765,0.07417647058823529,0.02676470588235294
9,Ryan Griffin,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,27,42,261.0,2,1.0,0.0,223.0,149.0,14.0,3.003,0,25.035,1.197,0.94,2.453,0.0,38.1,65.1,14,0.08,0.058,0.084,0.165,0.074,0.118,0.082,0.085,0.096,0.083,0.494,0.058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9285714285714286,3.0,18.642857142857142,0.14285714285714285,0.07142857142857142,0.0,15.928571428571429,10.642857142857142,1.0,0.2145,0.0,1.7882142857142858,0.06714285714285714,0.1752142857142857,0.0,2.7214285714285715,4.6499999999999995,0.005714285714285714,0.011785714285714287,0.006857142857142858,0.005928571428571429,0.03528571428571429,0.0
10,Demetrius Harris,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,3,6,10.0,0,0.0,0.0,22.0,13.0,0.0,-5.846,0,0.0,0.253,0.044,0.41,0.0,1.0,4.0,3,0.067,0.037,0.034,0.13,0.015,0.0,0.0,0.0,0.008,0.012,0.111,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.3333333333333335,0.0,0.0,0.0,7.333333333333333,4.333333333333333,0.0,-1.9486666666666668,0.0,0.0,0.014666666666666666,0.13666666666666666,0.0,0.3333333333333333,1.3333333333333333,0.022333333333333334,0.043333333333333335,0.0026666666666666666,0.004,0.037,0.0
11,Jack Doyle,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,29,43,302.0,3,0.0,0.0,291.0,125.0,18.0,11.73,1,12.5,1.429,1.306,3.058,0.0,50.2,79.2,15,0.092,0.08,0.082,0.202,0.094,0.125,0.12,0.121,0.109,0.1,0.648,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9333333333333333,2.8666666666666667,20.133333333333333,0.2,0.0,0.0,19.4,8.333333333333334,1.2,0.782,0.06666666666666667,0.8333333333333334,0.08706666666666667,0.20386666666666667,0.0,3.3466666666666667,5.28,0.0061333333333333335,0.013466666666666667,0.007266666666666667,0.006666666666666667,0.0432,0.0
